;id;id_name
0;#org4;ángel
1;#org4;ángel
2;#org8;profetas
3;#org10;reyes magos
4;#org5;escribas
5;#org5;escribas
6;#org8;profetas
7;#per10;Herodes
8;#org4;ángel
9;#org8;profetas
10;#per15;Jeremías
11;#org4;ángel
12;#per18;Juan el Bautista
13;#per19;Isaías
14;#per18;Juan el Bautista
15;#per18;Juan el Bautista
16;#per18;Juan el Bautista
17;#org2;fariseos
18;#org7;saduceos
19;#per18;Juan el Bautista
20;#per18;Juan el Bautista
21;#per18;Juan el Bautista
22;#per18;Juan el Bautista
23;#per1;Jesús
24;#per14;Dios
25;#per20;diablo
26;#per1;Jesús
27;#per20;diablo
28;#per1;Jesús
29;#per20;diablo
30;#per1;Jesús
31;#per19;Isaías
32;#per19;Isaías
33;#per1;Jesús
34;#per1;Jesús
35;#per1;Jesús
36;#per1;Jesús
37;#per1;Jesús
38;#per1;Jesús
39;#per1;Jesús
40;#per1;Jesús
41;#per1;Jesús
42;#per1;Jesús
43;#per1;Jesús
44;#per1;Jesús
45;#per1;Jesús
46;#per1;Jesús
47;#per1;Jesús
48;#per1;Jesús
49;#per1;Jesús
50;#per1;Jesús
51;#per1;Jesús
52;#per1;Jesús
53;#per1;Jesús
54;#per1;Jesús
55;#per1;Jesús
56;#per1;Jesús
57;#per1;Jesús
58;#per1;Jesús
59;#per1;Jesús
60;#per1;Jesús
61;#per1;Jesús
62;#per1;Jesús
63;#per1;Jesús
64;#per1;Jesús
65;#per1;Jesús
66;#per1;Jesús
67;#per1;Jesús
68;#per1;Jesús
69;#per1;Jesús
70;#per1;Jesús
71;#per1;Jesús
72;#per1;Jesús
73;#per1;Jesús
74;#per1;Jesús
75;#per1;Jesús
76;#per1;Jesús
77;#per1;Jesús
78;#per1;Jesús
79;#per1;Jesús
80;#per1;Jesús
81;#per1;Jesús
82;#per1;Jesús
83;#per1;Jesús
84;#per1;Jesús
85;#per1;Jesús
86;#per1;Jesús
87;#per1;Jesús
88;#per1;Jesús
89;#per1;Jesús
90;#per1;Jesús
91;#per1;Jesús
92;#per1;Jesús
93;#per1;Jesús
94;#per1;Jesús
