;whoid;correspid;whoid_name;correspid_name
0;#per14;#org0;Dios;gente
1;#per14;#org0;Dios;gente
2;#per14;#org0;Dios;gente
3;#per14;#org0;Dios;gente
4;#per14;#org0;Dios;gente
5;#per14;#org0;Dios;gente
6;#per14;#org0;Dios;gente
7;#per14;#org0;Dios;gente
8;#per14;#org0;Dios;gente
9;#per14;#org0;Dios;gente
10;#per14;#org0;Dios;gente
11;#per14;#org0;Dios;gente
12;#per14;#org0;Dios;gente
13;#per14;#org0;Dios;gente
14;#per14;#org0;Dios;gente
15;#per14;#per145;Dios;Adán
16;#per14;#per241;Dios;Eva
17;#per14;#per145;Dios;Adán
18;#per14;#per241;Dios;Eva
19;#per14;#per145;Dios;Adán
20;#per14;#per241;Dios;Eva
21;#per14;#per145;Dios;Adán
22;#per14;#per145;Dios;Adán
23;#per14;#per14;Dios;Dios
24;#per14;#per241;Dios;Eva
25;#per14;#per145;Dios;Adán
26;#per14;#per241;Dios;Eva
27;#per14;#per145;Dios;Adán
28;#per14;#per145;Dios;Adán
29;#per14;#per145;Dios;Adán
30;#per14;#per241;Dios;Eva
31;#per14;#per20;Dios;diablo
32;#per14;#per20;Dios;diablo
33;#per14;#per241;Dios;Eva
34;#per14;#per145;Dios;Adán
35;#per14;#per145;Dios;Adán
36;#per14;#per145;Dios;Adán
37;#per14;#per145;Dios;Adán
38;#per14;#per14;Dios;Dios
39;#per14;#per142;Dios;Caín
40;#per14;#per142;Dios;Caín
41;#per14;#per142;Dios;Caín
42;#per14;#per142;Dios;Caín
43;#per14;#per142;Dios;Caín
44;#per14;#per142;Dios;Caín
45;#per14;#per142;Dios;Caín
46;#per14;#per14;Dios;Dios
47;#per14;#per14;Dios;Dios
48;#per14;#per47;Dios;Noé
49;#per14;#per47;Dios;Noé
50;#per14;#per47;Dios;Noé
51;#per14;#per47;Dios;Noé
52;#per14;#per47;Dios;Noé
53;#per14;#per47;Dios;Noé
54;#per14;#per47;Dios;Noé
55;#per14;#per47;Dios;Noé
56;#per14;#per47;Dios;Noé
57;#per14;#per47;Dios;Noé
58;#per14;#per47;Dios;Noé
59;#per14;#per47;Dios;Noé
60;#per14;#per47;Dios;Noé
61;#per14;#per47;Dios;Noé
62;#per14;#per47;Dios;Noé
63;#per14;#per14;Dios;Dios
64;#per14;#per14;Dios;Dios
65;#per14;#per144;Dios;Sem
66;#per14;#per158;Dios;Cam
67;#per14;#per162;Dios;Jafet
68;#per14;#per47;Dios;Noé
