	b.DAN.1.1	b.DAN.1.2	b.DAN.1.3	b.DAN.1.4	b.DAN.1.5	b.DAN.1.6	b.DAN.1.7	b.DAN.1.8	b.DAN.1.9	b.DAN.1.10	b.DAN.1.11	b.DAN.1.12	b.DAN.1.13	b.DAN.1.14	b.DAN.1.15	b.DAN.1.16	b.DAN.1.17	b.DAN.1.18	b.DAN.1.19	b.DAN.1.20	b.DAN.1.21	b.DAN.2.1	b.DAN.2.2	b.DAN.2.3	b.DAN.2.4	b.DAN.2.5	b.DAN.2.6	b.DAN.2.7	b.DAN.2.8	b.DAN.2.9	b.DAN.2.10	b.DAN.2.11	b.DAN.2.12	b.DAN.2.13	b.DAN.2.14	b.DAN.2.15	b.DAN.2.16	b.DAN.2.17	b.DAN.2.18	b.DAN.2.19	b.DAN.2.20	b.DAN.2.21	b.DAN.2.22	b.DAN.2.23	b.DAN.2.24	b.DAN.2.25	b.DAN.2.26	b.DAN.2.27	b.DAN.2.28	b.DAN.2.29	b.DAN.2.30	b.DAN.2.31	b.DAN.2.32	b.DAN.2.33	b.DAN.2.34	b.DAN.2.35	b.DAN.2.36	b.DAN.2.37	b.DAN.2.38	b.DAN.2.39	b.DAN.2.40	b.DAN.2.41	b.DAN.2.42	b.DAN.2.43	b.DAN.2.44	b.DAN.2.45	b.DAN.2.46	b.DAN.2.47	b.DAN.2.48	b.DAN.2.49	b.DAN.3.1	b.DAN.3.2	b.DAN.3.3	b.DAN.3.4	b.DAN.3.5	b.DAN.3.6	b.DAN.3.7	b.DAN.3.8	b.DAN.3.9	b.DAN.3.10	b.DAN.3.11	b.DAN.3.12	b.DAN.3.13	b.DAN.3.14	b.DAN.3.15	b.DAN.3.16	b.DAN.3.17	b.DAN.3.18	b.DAN.3.19	b.DAN.3.20	b.DAN.3.21	b.DAN.3.22	b.DAN.3.23	b.DAN.3.24	b.DAN.3.25	b.DAN.3.26	b.DAN.3.27	b.DAN.3.28	b.DAN.3.29	b.DAN.3.30	b.DAN.4.1	b.DAN.4.2	b.DAN.4.3	b.DAN.4.4	b.DAN.4.5	b.DAN.4.6	b.DAN.4.7	b.DAN.4.8	b.DAN.4.9	b.DAN.4.10	b.DAN.4.11	b.DAN.4.12	b.DAN.4.13	b.DAN.4.14	b.DAN.4.15	b.DAN.4.16	b.DAN.4.17	b.DAN.4.18	b.DAN.4.19	b.DAN.4.20	b.DAN.4.21	b.DAN.4.22	b.DAN.4.23	b.DAN.4.24	b.DAN.4.25	b.DAN.4.26	b.DAN.4.27	b.DAN.4.28	b.DAN.4.29	b.DAN.4.30	b.DAN.4.31	b.DAN.4.32	b.DAN.4.33	b.DAN.4.34	b.DAN.4.35	b.DAN.4.36	b.DAN.4.37	b.DAN.5.1	b.DAN.5.2	b.DAN.5.3	b.DAN.5.4	b.DAN.5.5	b.DAN.5.6	b.DAN.5.7	b.DAN.5.8	b.DAN.5.9	b.DAN.5.10	b.DAN.5.11	b.DAN.5.12	b.DAN.5.13	b.DAN.5.14	b.DAN.5.15	b.DAN.5.16	b.DAN.5.17	b.DAN.5.18	b.DAN.5.19	b.DAN.5.20	b.DAN.5.21	b.DAN.5.22	b.DAN.5.23	b.DAN.5.24	b.DAN.5.25	b.DAN.5.26	b.DAN.5.27	b.DAN.5.28	b.DAN.5.29	b.DAN.5.30	b.DAN.5.31	b.DAN.6.1	b.DAN.6.2	b.DAN.6.3	b.DAN.6.4	b.DAN.6.5	b.DAN.6.6	b.DAN.6.7	b.DAN.6.8	b.DAN.6.9	b.DAN.6.10	b.DAN.6.11	b.DAN.6.12	b.DAN.6.13	b.DAN.6.14	b.DAN.6.15	b.DAN.6.16	b.DAN.6.17	b.DAN.6.18	b.DAN.6.19	b.DAN.6.20	b.DAN.6.21	b.DAN.6.22	b.DAN.6.23	b.DAN.6.24	b.DAN.6.25	b.DAN.6.26	b.DAN.6.27	b.DAN.6.28	b.DAN.7.1	b.DAN.7.2	b.DAN.7.3	b.DAN.7.4	b.DAN.7.5	b.DAN.7.6	b.DAN.7.7	b.DAN.7.8	b.DAN.7.9	b.DAN.7.10	b.DAN.7.11	b.DAN.7.12	b.DAN.7.13	b.DAN.7.14	b.DAN.7.15	b.DAN.7.16	b.DAN.7.17	b.DAN.7.18	b.DAN.7.19	b.DAN.7.20	b.DAN.7.21	b.DAN.7.22	b.DAN.7.23	b.DAN.7.24	b.DAN.7.25	b.DAN.7.26	b.DAN.7.27	b.DAN.7.28	b.DAN.8.1	b.DAN.8.2	b.DAN.8.3	b.DAN.8.4	b.DAN.8.5	b.DAN.8.6	b.DAN.8.7	b.DAN.8.8	b.DAN.8.9	b.DAN.8.10	b.DAN.8.11	b.DAN.8.12	b.DAN.8.13	b.DAN.8.14	b.DAN.8.15	b.DAN.8.16	b.DAN.8.17	b.DAN.8.18	b.DAN.8.19	b.DAN.8.20	b.DAN.8.21	b.DAN.8.22	b.DAN.8.23	b.DAN.8.24	b.DAN.8.25	b.DAN.8.26	b.DAN.8.27	b.DAN.9.1	b.DAN.9.2	b.DAN.9.3	b.DAN.9.4	b.DAN.9.5	b.DAN.9.6	b.DAN.9.7	b.DAN.9.8	b.DAN.9.9	b.DAN.9.10	b.DAN.9.11	b.DAN.9.12	b.DAN.9.13	b.DAN.9.14	b.DAN.9.15	b.DAN.9.16	b.DAN.9.17	b.DAN.9.18	b.DAN.9.19	b.DAN.9.20	b.DAN.9.21	b.DAN.9.22	b.DAN.9.23	b.DAN.9.24	b.DAN.9.25	b.DAN.9.26	b.DAN.9.27	b.DAN.10.1	b.DAN.10.2	b.DAN.10.3	b.DAN.10.4	b.DAN.10.5	b.DAN.10.6	b.DAN.10.7	b.DAN.10.8	b.DAN.10.9	b.DAN.10.10	b.DAN.10.11	b.DAN.10.12	b.DAN.10.13	b.DAN.10.14	b.DAN.10.15	b.DAN.10.16	b.DAN.10.17	b.DAN.10.18	b.DAN.10.19	b.DAN.10.20	b.DAN.10.21	b.DAN.11.1	b.DAN.11.2	b.DAN.11.3	b.DAN.11.4	b.DAN.11.5	b.DAN.11.6	b.DAN.11.7	b.DAN.11.8	b.DAN.11.9	b.DAN.11.10	b.DAN.11.11	b.DAN.11.12	b.DAN.11.13	b.DAN.11.14	b.DAN.11.15	b.DAN.11.16	b.DAN.11.17	b.DAN.11.18	b.DAN.11.19	b.DAN.11.20	b.DAN.11.21	b.DAN.11.22	b.DAN.11.23	b.DAN.11.24	b.DAN.11.25	b.DAN.11.26	b.DAN.11.27	b.DAN.11.28	b.DAN.11.29	b.DAN.11.30	b.DAN.11.31	b.DAN.11.32	b.DAN.11.33	b.DAN.11.34	b.DAN.11.35	b.DAN.11.36	b.DAN.11.37	b.DAN.11.38	b.DAN.11.39	b.DAN.11.40	b.DAN.11.41	b.DAN.11.42	b.DAN.11.43	b.DAN.11.44	b.DAN.11.45	b.DAN.12.1	b.DAN.12.2	b.DAN.12.3	b.DAN.12.4	b.DAN.12.5	b.DAN.12.6	b.DAN.12.7	b.DAN.12.8	b.DAN.12.9	b.DAN.12.10	b.DAN.12.11	b.DAN.12.12	b.DAN.12.13
#org24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla97	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	3	1	3	1	1	1	1	1	1	1	1	1	1	2	2	3	5	1	1	1	1	1	2	1	3	1	1	1	1	2	1	3	2	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	1	3	1	1	1	2	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
#org64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	1	2	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org103	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
