	b.LUK.1.1	b.LUK.1.2	b.LUK.1.3	b.LUK.1.4	b.LUK.1.5	b.LUK.1.6	b.LUK.1.7	b.LUK.1.8	b.LUK.1.9	b.LUK.1.10	b.LUK.1.11	b.LUK.1.12	b.LUK.1.13	b.LUK.1.14	b.LUK.1.15	b.LUK.1.16	b.LUK.1.17	b.LUK.1.18	b.LUK.1.19	b.LUK.1.20	b.LUK.1.21	b.LUK.1.22	b.LUK.1.23	b.LUK.1.24	b.LUK.1.25	b.LUK.1.26	b.LUK.1.27	b.LUK.1.28	b.LUK.1.29	b.LUK.1.30	b.LUK.1.31	b.LUK.1.32	b.LUK.1.33	b.LUK.1.34	b.LUK.1.35	b.LUK.1.36	b.LUK.1.37	b.LUK.1.38	b.LUK.1.39	b.LUK.1.40	b.LUK.1.41	b.LUK.1.42	b.LUK.1.43	b.LUK.1.44	b.LUK.1.45	b.LUK.1.46	b.LUK.1.47	b.LUK.1.48	b.LUK.1.49	b.LUK.1.50	b.LUK.1.51	b.LUK.1.52	b.LUK.1.53	b.LUK.1.54	b.LUK.1.55	b.LUK.1.56	b.LUK.1.57	b.LUK.1.58	b.LUK.1.59	b.LUK.1.60	b.LUK.1.61	b.LUK.1.62	b.LUK.1.63	b.LUK.1.64	b.LUK.1.65	b.LUK.1.66	b.LUK.1.67	b.LUK.1.68	b.LUK.1.69	b.LUK.1.70	b.LUK.1.71	b.LUK.1.72	b.LUK.1.73	b.LUK.1.74	b.LUK.1.75	b.LUK.1.76	b.LUK.1.77	b.LUK.1.78	b.LUK.1.79	b.LUK.1.80	b.LUK.2.1	b.LUK.2.2	b.LUK.2.3	b.LUK.2.4	b.LUK.2.5	b.LUK.2.6	b.LUK.2.7	b.LUK.2.8	b.LUK.2.9	b.LUK.2.10	b.LUK.2.11	b.LUK.2.12	b.LUK.2.13	b.LUK.2.14	b.LUK.2.15	b.LUK.2.16	b.LUK.2.17	b.LUK.2.18	b.LUK.2.19	b.LUK.2.20	b.LUK.2.21	b.LUK.2.22	b.LUK.2.23	b.LUK.2.24	b.LUK.2.25	b.LUK.2.26	b.LUK.2.27	b.LUK.2.28	b.LUK.2.29	b.LUK.2.30	b.LUK.2.31	b.LUK.2.32	b.LUK.2.33	b.LUK.2.34	b.LUK.2.35	b.LUK.2.36	b.LUK.2.37	b.LUK.2.38	b.LUK.2.39	b.LUK.2.40	b.LUK.2.41	b.LUK.2.42	b.LUK.2.43	b.LUK.2.44	b.LUK.2.45	b.LUK.2.46	b.LUK.2.47	b.LUK.2.48	b.LUK.2.49	b.LUK.2.50	b.LUK.2.51	b.LUK.2.52
#per11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	1	1	1	2	1	1	1	3	1	0	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	1	0
#per961	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	1	2	4	2	0	0	0	0	0	2	0	2	0	2	1	1	1	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per958	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0
#pla467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
#per10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
