	b.HEB.1.1	b.HEB.1.2	b.HEB.1.3	b.HEB.1.4	b.HEB.1.5	b.HEB.1.6	b.HEB.1.7	b.HEB.1.8	b.HEB.1.9	b.HEB.1.10	b.HEB.1.11	b.HEB.1.12	b.HEB.1.13	b.HEB.1.14	b.HEB.2.1	b.HEB.2.2	b.HEB.2.3	b.HEB.2.4	b.HEB.2.5	b.HEB.2.6	b.HEB.2.7	b.HEB.2.8	b.HEB.2.9	b.HEB.2.10	b.HEB.2.11	b.HEB.2.12	b.HEB.2.13	b.HEB.2.14	b.HEB.2.15	b.HEB.2.16	b.HEB.2.17	b.HEB.2.18	b.HEB.3.1	b.HEB.3.2	b.HEB.3.3	b.HEB.3.4	b.HEB.3.5	b.HEB.3.6	b.HEB.3.7	b.HEB.3.8	b.HEB.3.9	b.HEB.3.10	b.HEB.3.11	b.HEB.3.12	b.HEB.3.13	b.HEB.3.14	b.HEB.3.15	b.HEB.3.16	b.HEB.3.17	b.HEB.3.18	b.HEB.3.19	b.HEB.4.1	b.HEB.4.2	b.HEB.4.3	b.HEB.4.4	b.HEB.4.5	b.HEB.4.6	b.HEB.4.7	b.HEB.4.8	b.HEB.4.9	b.HEB.4.10	b.HEB.4.11	b.HEB.4.12	b.HEB.4.13	b.HEB.4.14	b.HEB.4.15	b.HEB.4.16	b.HEB.5.1	b.HEB.5.2	b.HEB.5.3	b.HEB.5.4	b.HEB.5.5	b.HEB.5.6	b.HEB.5.7	b.HEB.5.8	b.HEB.5.9	b.HEB.5.10	b.HEB.5.11	b.HEB.5.12	b.HEB.5.13	b.HEB.5.14	b.HEB.6.1	b.HEB.6.2	b.HEB.6.3	b.HEB.6.4	b.HEB.6.5	b.HEB.6.6	b.HEB.6.7	b.HEB.6.8	b.HEB.6.9	b.HEB.6.10	b.HEB.6.11	b.HEB.6.12	b.HEB.6.13	b.HEB.6.14	b.HEB.6.15	b.HEB.6.16	b.HEB.6.17	b.HEB.6.18	b.HEB.6.19	b.HEB.6.20	b.HEB.7.1	b.HEB.7.2	b.HEB.7.3	b.HEB.7.4	b.HEB.7.5	b.HEB.7.6	b.HEB.7.7	b.HEB.7.8	b.HEB.7.9	b.HEB.7.10	b.HEB.7.11	b.HEB.7.12	b.HEB.7.13	b.HEB.7.14	b.HEB.7.15	b.HEB.7.16	b.HEB.7.17	b.HEB.7.18	b.HEB.7.19	b.HEB.7.20	b.HEB.7.21	b.HEB.7.22	b.HEB.7.23	b.HEB.7.24	b.HEB.7.25	b.HEB.7.26	b.HEB.7.27	b.HEB.7.28	b.HEB.8.1	b.HEB.8.2	b.HEB.8.3	b.HEB.8.4	b.HEB.8.5	b.HEB.8.6	b.HEB.8.7	b.HEB.8.8	b.HEB.8.9	b.HEB.8.10	b.HEB.8.11	b.HEB.8.12	b.HEB.8.13	b.HEB.9.1	b.HEB.9.2	b.HEB.9.3	b.HEB.9.4	b.HEB.9.5	b.HEB.9.6	b.HEB.9.7	b.HEB.9.8	b.HEB.9.9	b.HEB.9.10	b.HEB.9.11	b.HEB.9.12	b.HEB.9.13	b.HEB.9.14	b.HEB.9.15	b.HEB.9.16	b.HEB.9.17	b.HEB.9.18	b.HEB.9.19	b.HEB.9.20	b.HEB.9.21	b.HEB.9.22	b.HEB.9.23	b.HEB.9.24	b.HEB.9.25	b.HEB.9.26	b.HEB.9.27	b.HEB.9.28	b.HEB.10.1	b.HEB.10.2	b.HEB.10.3	b.HEB.10.4	b.HEB.10.5	b.HEB.10.6	b.HEB.10.7	b.HEB.10.8	b.HEB.10.9	b.HEB.10.10	b.HEB.10.11	b.HEB.10.12	b.HEB.10.13	b.HEB.10.14	b.HEB.10.15	b.HEB.10.16	b.HEB.10.17	b.HEB.10.18	b.HEB.10.19	b.HEB.10.20	b.HEB.10.21	b.HEB.10.22	b.HEB.10.23	b.HEB.10.24	b.HEB.10.25	b.HEB.10.26	b.HEB.10.27	b.HEB.10.28	b.HEB.10.29	b.HEB.10.30	b.HEB.10.31	b.HEB.10.32	b.HEB.10.33	b.HEB.10.34	b.HEB.10.35	b.HEB.10.36	b.HEB.10.37	b.HEB.10.38	b.HEB.10.39	b.HEB.11.1	b.HEB.11.2	b.HEB.11.3	b.HEB.11.4	b.HEB.11.5	b.HEB.11.6	b.HEB.11.7	b.HEB.11.8	b.HEB.11.9	b.HEB.11.10	b.HEB.11.11	b.HEB.11.12	b.HEB.11.13	b.HEB.11.14	b.HEB.11.15	b.HEB.11.16	b.HEB.11.17	b.HEB.11.18	b.HEB.11.19	b.HEB.11.20	b.HEB.11.21	b.HEB.11.22	b.HEB.11.23	b.HEB.11.24	b.HEB.11.25	b.HEB.11.26	b.HEB.11.27	b.HEB.11.28	b.HEB.11.29	b.HEB.11.30	b.HEB.11.31	b.HEB.11.32	b.HEB.11.33	b.HEB.11.34	b.HEB.11.35	b.HEB.11.36	b.HEB.11.37	b.HEB.11.38	b.HEB.11.39	b.HEB.11.40	b.HEB.12.1	b.HEB.12.2	b.HEB.12.3	b.HEB.12.4	b.HEB.12.5	b.HEB.12.6	b.HEB.12.7	b.HEB.12.8	b.HEB.12.9	b.HEB.12.10	b.HEB.12.11	b.HEB.12.12	b.HEB.12.13	b.HEB.12.14	b.HEB.12.15	b.HEB.12.16	b.HEB.12.17	b.HEB.12.18	b.HEB.12.19	b.HEB.12.20	b.HEB.12.21	b.HEB.12.22	b.HEB.12.23	b.HEB.12.24	b.HEB.12.25	b.HEB.12.26	b.HEB.12.27	b.HEB.12.28	b.HEB.12.29	b.HEB.13.1	b.HEB.13.2	b.HEB.13.3	b.HEB.13.4	b.HEB.13.5	b.HEB.13.6	b.HEB.13.7	b.HEB.13.8	b.HEB.13.9	b.HEB.13.10	b.HEB.13.11	b.HEB.13.12	b.HEB.13.13	b.HEB.13.14	b.HEB.13.15	b.HEB.13.16	b.HEB.13.17	b.HEB.13.18	b.HEB.13.19	b.HEB.13.20	b.HEB.13.21	b.HEB.13.22	b.HEB.13.23	b.HEB.13.24	b.HEB.13.25
#org37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#wor4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla41	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
