	b.1TH.1.1	b.1TH.1.2	b.1TH.1.3	b.1TH.1.4	b.1TH.1.5	b.1TH.1.6	b.1TH.1.7	b.1TH.1.8	b.1TH.1.9	b.1TH.1.10	b.1TH.2.1	b.1TH.2.2	b.1TH.2.3	b.1TH.2.4	b.1TH.2.5	b.1TH.2.6	b.1TH.2.7	b.1TH.2.8	b.1TH.2.9	b.1TH.2.10	b.1TH.2.11	b.1TH.2.12	b.1TH.2.13	b.1TH.2.14	b.1TH.2.15	b.1TH.2.16	b.1TH.2.17	b.1TH.2.18	b.1TH.2.19	b.1TH.2.20	b.1TH.3.1	b.1TH.3.2	b.1TH.3.3	b.1TH.3.4	b.1TH.3.5	b.1TH.3.6	b.1TH.3.7	b.1TH.3.8	b.1TH.3.9	b.1TH.3.10	b.1TH.3.11	b.1TH.3.12	b.1TH.3.13	b.1TH.4.1	b.1TH.4.2	b.1TH.4.3	b.1TH.4.4	b.1TH.4.5	b.1TH.4.6	b.1TH.4.7	b.1TH.4.8	b.1TH.4.9	b.1TH.4.10	b.1TH.4.11	b.1TH.4.12	b.1TH.4.13	b.1TH.4.14	b.1TH.4.15	b.1TH.4.16	b.1TH.4.17	b.1TH.4.18	b.1TH.5.1	b.1TH.5.2	b.1TH.5.3	b.1TH.5.4	b.1TH.5.5	b.1TH.5.6	b.1TH.5.7	b.1TH.5.8	b.1TH.5.9	b.1TH.5.10	b.1TH.5.11	b.1TH.5.12	b.1TH.5.13	b.1TH.5.14	b.1TH.5.15	b.1TH.5.16	b.1TH.5.17	b.1TH.5.18	b.1TH.5.19	b.1TH.5.20	b.1TH.5.21	b.1TH.5.22	b.1TH.5.23	b.1TH.5.24	b.1TH.5.25	b.1TH.5.26	b.1TH.5.27	b.1TH.5.28
#pla206	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org292	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per17	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
#org37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla199	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
#org13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1	4	0	2	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	2	1	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2	2	2	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	2
#per527	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per14	4	1	2	1	0	0	0	1	2	0	0	1	0	2	2	0	0	1	1	1	0	1	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	2	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
#org8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
