	b.OBA.1.1	b.OBA.1.2	b.OBA.1.3	b.OBA.1.4	b.OBA.1.5	b.OBA.1.6	b.OBA.1.7	b.OBA.1.8	b.OBA.1.9	b.OBA.1.10	b.OBA.1.11	b.OBA.1.12	b.OBA.1.13	b.OBA.1.14	b.OBA.1.15	b.OBA.1.16	b.OBA.1.17	b.OBA.1.18	b.OBA.1.19	b.OBA.1.20	b.OBA.1.21
#org63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
#pla3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
#pla792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
#per104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
#pla112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
#org39	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
#per14	4	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	0	0	1
#pla137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#org24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
#org19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
#pla51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#org171	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
#pla321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#pla72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2
#pla793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
#pla57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#org16	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
#per1044	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org70	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	2	0	1	0
#org126	2	1	3	2	1	1	1	2	3	1	1	1	1	1	1	1	1	4	0	1	0
#org53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#per4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0
#tim2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
#org49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
#pla298	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
#pla264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#org0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
#pla2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
#per131	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	1	0	1
#pla246	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2
