	Source	Target	Via	Weight	Type
50	#per39	#per14	prayer	40	Directed
41	#per14	#per39	oral	17	Directed
88	#per14	#per13	oral	16	Directed
59	#per14	#per1545	oral	15	Directed
78	#org8	#org8	oral	14	Directed
82	#per1573	#per1583	oral	11	Directed
122	#org8	#per642	oral	10	Directed
58	#per1573	#per1545	oral	9	Directed
100	#per13	#org70	oral	9	Directed
25	#per35	#per39	oral	8	Directed
95	#per1590	#per13	oral	8	Directed
147	#per1516	#per642	oral	8	Directed
87	#per13	#per642	oral	8	Directed
43	#org21	#per39	oral	7	Directed
26	#per14	#per35	oral	7	Directed
7	#per779	#per35	oral	6	Directed
52	#per39	#org70	oral	6	Directed
90	#per13	#per1526	oral	6	Directed
38	#per39	#per731	oral	6	Directed
123	#per14	#per642	oral	6	Directed
19	#per1546	#per739	oral	6	Directed
83	#per1583	#per1545	idea	5	Directed
115	#per1585	#per642	oral	5	Directed
74	#org8	#org0	oral	5	Directed
29	#per739	#per779	oral	5	Directed
114	#org144	#per642	oral	4	Directed
47	#per39	#per750	written	4	Directed
42	#per39	#per14	oral	4	Directed
124	#per642	#org8	oral	4	Directed
3	#per725	#per779	oral	4	Directed
34	#per39	#per771	oral	4	Directed
44	#org21	#org21	oral	4	Directed
118	#per642	#org144	oral	4	Directed
5	#per35	#per779	oath	4	Directed
28	#per779	#per739	oral	4	Directed
77	#per14	#org8	oral	4	Directed
92	#per13	#per14	prayer	4	Directed
126	#org144	#per1585	oral	4	Directed
96	#per13	#per1590	oral	4	Directed
9	#per725	#per35	oral	4	Directed
99	#per642	#per13	oral	4	Directed
55	#per1582	#per39	oral	4	Directed
61	#per63	#per1545	oral	3	Directed
131	#per1510	#per642	oral	3	Directed
130	#per1509	#per642	oral	3	Directed
73	#org8	#per1545	oral	3	Directed
113	#per642	#per1585	oral	3	Directed
85	#per14	#per1587	oral	3	Directed
91	#per1526	#per13	oral	3	Directed
105	#per13	#per1591	oral	3	Directed
14	#per35	#per768	oral	3	Directed
121	#per1585	#org24	oral	3	Directed
93	#per13	#per14	oral	3	Directed
148	#per14	#org4	oral	3	Directed
140	#per642	#per66	oral	3	Directed
139	#per66	#per642	oral	3	Directed
65	#org70	#per63	oral	3	Directed
76	#per1545	#org8	oral	2	Directed
67	#per63	#org70	idea	2	Directed
80	#per1545	#per1583	oral	2	Directed
102	#per13	#org14	oral	2	Directed
71	#per1545	#per1545	thought	2	Directed
1	#per739	#org0	oral	2	Directed
106	#per1591	#per13	oral	2	Directed
68	#per14	#per1555	oral	2	Directed
109	#org4	#per13	oral	2	Directed
0	#org144	#per35	oral	2	Directed
66	#org288	#per63	oral	2	Directed
137	#per13	#per642	idea	2	Directed
156	#org0	#org0	oral	2	Directed
6	#per35	#per779	oral	2	Directed
153	#per1592	#per1594	idea	2	Directed
152	#per642	#per1592	oral	2	Directed
149	#org4	#per14	oral	2	Directed
16	#per771	#per35	oral	2	Directed
146	#per642	#per1516	oral	2	Directed
21	#org0	#per39	oral	2	Directed
30	#per779	#per39	oral	2	Directed
32	#per39	#per14	oath	2	Directed
