	Source	Target	Via	Weight	Type	book
42	#per1	#org3	oral	395	Directed	MAT
62	#per1	#org3	oral	144	Directed	JOH
39	#per1	#org13	oral	103	Directed	JOH
45	#per1	#org3	oral	96	Directed	MAR
50	#per1	#org0	oral	92	Directed	MAT
54	#per1	#org2	oral	57	Directed	MAT
56	#per1	#org0	oral	49	Directed	MAR
75	#per1	#org0	oral	44	Directed	JOH
29	#per1	#per23	oral	37	Directed	MAR
109	#per1	#per14	prayer	30	Directed	JOH
28	#per0	#per0	oral	29	Directed	MAT
78	#per1	#per21	oral	25	Directed	MAT
77	#per1	#org2	oral	24	Directed	JOH
61	#per1	#org2	oral	22	Directed	MAR
33	#org3	#per1	oral	22	Directed	MAT
112	#per1	#per0	oral	21	Directed	JOH
53	#per1	#org12	oral	21	Directed	MAT
77	#per1	#per21	oral	20	Directed	MAR
15	#per1	#per1	oral	20	Directed	JOH
33	#per1	#per103	oral	18	Directed	JOH
32	#org0	#org0	oral	16	Directed	MAR
53	#per1	#org5	oral	15	Directed	MAR
39	#org3	#per1	oral	15	Directed	MAR
98	#per1	#per21	oral	15	Directed	JOH
7	#org0	#per1	oral	14	Directed	MAR
36	#org13	#per1	oral	14	Directed	JOH
104	#org0	#org0	oral	13	Directed	JOH
25	#org0	#org0	oral	13	Directed	MAT
50	#per18	#org0	spoken	13	Directed	JOH
24	#per0	#org0	oral	12	Directed	MAT
18	#per960	#org0	oath	12	Directed	LUK
75	#per1	#per0	oral	11	Directed	MAT
45	#per21	#per1	oral	11	Directed	MAT
8	#per1	#org15	oral	11	Directed	MAR
82	#per21	#per1	oral	10	Directed	JOH
6	#per11	#per959	song	10	Directed	LUK
69	#per0	#per1	oral	10	Directed	MAT
74	#per18	#org27	oral	10	Directed	JOH
65	#org2	#per1	oral	9	Directed	MAT
13	#per1	#org15	oral	9	Directed	JOH
3	#per961	#per11	oral	8	Directed	LUK
65	#per21	#per1	oral	8	Directed	MAR
3	#per1	#org15	oral	8	Directed	MAT
102	#org13	#org15	oral	7	Directed	JOH
116	#org13	#per50	oral	7	Directed	JOH
92	#per50	#org13	oral	7	Directed	JOH
48	#org15	#org13	oral	7	Directed	JOH
55	#org3	#per1	oral	7	Directed	JOH
76	#per108	#per1	oral	6	Directed	JOH
67	#org13	#org13	oral	6	Directed	JOH
66	#per1	#org70	oral	6	Directed	MAR
52	#per18	#org2	spoken	6	Directed	JOH
23	#org13	#org0	oral	6	Directed	JOH
115	#per1	#per22	oral	6	Directed	JOH
94	#per50	#per1	oral	6	Directed	JOH
54	#per1	#per34	oral	6	Directed	JOH
91	#per1	#per14	prayer	6	Directed	MAT
94	#per18	#org2	oral	6	Directed	MAT
70	#per1	#org27	oral	6	Directed	MAT
95	#per1	#org18	idea	5	Directed	MAT
