id	NormalizedName-sp	aclaration	variants	comments	book	cert	Gender	NormalizedName-ge	NormalizedName-po	type	nature	definition	importance	order-edition
#per486	Gamaliel	fariseo			NT		male			person	human	defined		ACT
#per487	Teudas	falso profeta			NT		male			person	human	defined		ACT
#per488	Judas	falso profeta			NT		male			person	human	defined		ACT
#per489	Esteban				NT		male			person	human	defined		ACT
#per490	Prócoro				NT		male			person	human	defined		ACT
#per491	Nicanor				NT		male			person	human	defined		ACT
#per492	Timón				NT		male			person	human	defined		ACT
#per493	Parmenas				NT		male			person	human	defined		ACT
#per494	Nicolás				NT		male			person	human	defined		ACT
#per495	faraón	en tiempos de Moisés			AT		male			person	human	defined		ACT
#per496	Amram	padre de Moisés			AT		male			person	human	defined	1	ACT
#per497	hija del faraón				AT		male			person	human	defined		ACT
#per498	Madián				AT		male			person	human	defined		ACT
#per499	Gersón	hijo de Moisés			AT		male			person	human	defined	1	ACT
#per500	Aarón	hermano de Moisés			AT		male			person	human	defined	1	ACT
#per501	Moloc				AT		male			person	superior	defined		ACT
#per502	Refán				AT		male			person	superior	defined		ACT
#per503	Josué				AT		male			person	human	defined	1	ACT
#per504	Pablo		Saulo		AT		male			person	human	defined	1	ACT
#per505	Simón	antiguo  mago			AT		male			person	human	defined		ACT
#per506	Candace	reina de Etipoía			NT		female			person	human	defined		ACT
#per507	Ananías	habla con Saulo			NT		male			person	human	defined		ACT
#per508	Judas	dueño de la casa donde está Saulo			NT		male			person	human	defined		ACT
#per509	Eneas	paralítico			NT		male			person	human	defined		ACT
#per510	Tabita		Dorcas		NT		female			person	human	defined	1	ACT
#per511	Simón	curtidor de Jope			NT		male			person	human	defined		ACT
#per512	Cornelio				NT		male			person	human	defined		ACT
#per513	Agabo	profeta			NT		male			person	human	defined		ACT
#per514	Claudio	emperador romano			NT		male			person	human	defined		ACT
#per515	Rode	niña creyente			NT		female			person	human	defined		ACT
#per516	Blasto	camarero de Herodes			NT		male			person	human	defined		ACT
#per517	Simón	Niger			NT		male			person	human	defined		ACT
#per518	Lucio	de Cirene			NT		male			person	human	defined		ACT
#per519	Manaén				NT		male			person	human	defined		ACT
#per520	Barjesús	falso profeta			NT		male			person	human	defined		ACT
#per521	Sergio Paulo				NT		male			person	human	defined		ACT
#per522	Saúl	rey			NT		male			person	human	defined		ACT
#per523	Cis	padre de Saúl			NT		male			person	human	defined		ACT
#per524	Júpiter				NT		male			person	superior	defined		ACT
#per525	Barsabás		Judas		NT		male			person	human	defined		ACT
#per526	Silas				NT		male			person	human	defined		ACT
#per527	Timoteo				NT		male			person	human	defined		ACT
#per528	Lidia				NT		female			person	human	defined		ACT
#per529	Jasón				NT		male			person	human	defined		ACT
#per530	Dionisio				NT		male			person	human	defined		ACT
#per531	Dámaris				NT		female			person	human	defined		ACT
#per532	Aquila				NT		male			person	human	defined		ACT
#per533	Priscila				NT		female			person	human	defined		ACT
#per534	Claudio				NT		male			person	human	defined		ACT
#per535	Justo				NT		male			person	human	defined		ACT
#per536	Crispo				NT		male			person	human	defined		ACT
#per537	Galión				NT		male			person	human	defined		ACT
#per538	Sóstenes				NT		male			person	human	defined		ACT
#per539	Apolos				NT		male			person	human	defined		ACT
#per540	Tiranno				NT		male			person	human	defined		ACT
#per541	Esceva				NT		male			person	human	defined		ACT
#per542	Erasto				NT		male			person	human	defined		ACT
#per543	Demetrio	platero			NT		male			person	human	defined		ACT
#per544	Diana				NT		female			person	superior	defined		ACT
#per545	Gayo	compañero éfeso de Pablo		Menciones en ACT 19 y 20. Diferentes personas?	NT		male			person	human	defined		ACT
#per546	Aristarco	compañero éfeso de Pablo			NT		male			person	human	defined		ACT
#per547	Sópater	compañero de Pablo			NT		male			person	human	defined		ACT
#per548	Pirro	padre de Sópater			NT		male			person	human	defined		ACT
#per549	Segundo	compañero de Pablo			NT		male			person	human	defined		ACT
#per550	Tíquico				NT		male			person	human	defined		ACT
#per551	Trófimo				NT		male			person	human	defined		ACT
#per552	Eutico				NT		male			person	human	defined		ACT
#per553	Agabo	profeta			NT		male			person	human	defined		ACT
#per554	Mnasón				NT		male			person	human	defined		ACT
#per555	Gamaliel				NT		male			person	human	defined		ACT
#per556	sobrino de Pablo				NT		male			person	human	defined		ACT
#per557	hermana de Pablo				NT		female			person	human	defined		ACT
#per558	Félix	gobernador			NT		male			person	human	defined		ACT
#per559	Claudio Lisias	comandante			NT		male			person	human	defined		ACT
#per560	Ananías	sumo sacerdote en la época de Pablo			NT		male			person	human	defined		ACT
#per561	Tértulo	orador			NT		male			person	human	defined		ACT
#per562	Drusila	mujer de Félix			NT		male			person	human	defined		ACT
#per563	Porcio Festo	gobernador			NT		male			person	human	defined		ACT
#per564	Agripa	rey			NT		male			person	human	defined		ACT
#per565	Berenice				NT		female			person	human	defined		ACT
#per566	Julio	centurión que lleva a Pablo			NT		male			person	human	defined		ACT
#per567	Publio				NT		male			person	human	defined		ACT
#per568	Cástor				NT		male			person	superior	defined		ACT
#per569	Pólux				NT		male			person	superior	defined		ACT
#per570	Herodes				NT		male			person	human	defined		ACT
#per571	Marcos	evangelista, no discípulos	Juan		NT		male			person	human	defined	1	ACT
#per572	María	madre de Marcos			NT		female			person	human	defined		ACT
#per573	Malaquías				AT		male			person	human	defined	1	MAL
#per574	Hageo	profeta			AT		male			person	human	defined	1	HAG
#per575	Josué				AT		male			person	human	defined		HAG
#per576	Josadac				AT		male			person	human	defined		HAG
#per577	Darío	rey de Persia			AT		male			person	human	defined	1	HAG
#per578	rey	tras José			AT		male			person	human	defined		EXO
#per579	Sifra	parteras hebreas			AT		female			person	human	defined		EXO
#per580	Fúa	parteras hebreas			AT		female			person	human	defined		EXO
#per581	hermana de Moisés				AT		female			person	human	defined		EXO
#per582	Jocabed	madre de Moisés			AT		female			person	human	defined		EXO
#per583	Reuel	suegro de Moisés, sacerdote de Madián	Jetro		AT		male			person	human	defined		EXO
#per584	Séfora	mujer de Moisés			AT		female			person	human	defined		EXO
#per585	faraón	segundo faraón durante Moisés			AT		male			person	human	defined		EXO
#per586	mujer de Simeón	canaea			AT		female			person	human	defined		EXO
#per587	Libni	hijo de Gerson, nieto de Levi			AT		male			person	human	defined		EXO
#per588	Simei	hijo de Gerson, nieto de Levi			AT		male			person	human	defined		EXO
#per589	Hebrón				AT		male			person	human	defined		EXO
#per590	Uziel				AT		male			person	human	defined		EXO
#per591	Mahli				AT		male			person	human	defined		EXO
#per592	Musi				AT		male			person	human	defined		EXO
#per593	Coré				AT		male			person	human	defined		EXO
#per594	Nefeg				AT		male			person	human	defined		EXO
#per595	Zicri				AT		male			person	human	defined		EXO
#per596	Misael				AT		male			person	human	defined		EXO
#per597	Elzafán				AT		male			person	human	defined		EXO
#per598	Sitri				AT		male			person	human	defined		EXO
#per599	Elisabet	mujer de Aarón			AT		female			person	human	defined		EXO
#per600	Aminadab	madre de Elisabet, suegra de Aarón			AT		female			person	human	defined		EXO
#per601	Naasón				AT		male			person	human	defined		EXO
#per602	Nadab	hijo de Aarón			AT		male			person	human	defined		EXO
#per603	Abiú	hijo de Aarón			AT		male			person	human	defined		EXO
#per604	Eleazar	hijo de Aarón			AT		male			person	human	defined		EXO
#per605	Itamar	hijo de Aarón			AT		male			person	human	defined		EXO
#per606	Asir				AT		male			person	human	defined		EXO
#per607	Elcana				AT		male			person	human	defined		EXO
#per608	Abiasaf				AT		male			person	human	defined		EXO
#per609	Futiel				AT		male			person	human	defined		EXO
#per610	Finees				AT		male			person	human	defined		EXO
#per611	mujer de Eleazar	nuera de Aaron			AT		female			person	human	defined		EXO
#per612	María	hermana de Aarón  (de Moisés?), profetisa			AT		female			person	human	defined		EXO
#per613	Hur	compañero de Aarón y Moisés			AT		male			person	human	defined		EXO
#per614	Eliezer	hijo de Moisés			AT		male			person	human	defined		EXO
#per615	Bezaleel				AT		male			person	human	defined		EXO
#per616	Uri				AT		male			person	human	defined		EXO
#per617	Aholiab				AT		male			person	human	defined		EXO
#per618	Ahisamac				AT		male			person	human	defined		EXO
#per619	Nun	padre de Josué			AT		male			person	human	defined		EXO
#per620	Asera	dios cananeo			AT		male			person	superior	defined		EXO
#per621	Itamar	hijo de Aarón			AT		male			person	human	defined		EXO
														
														
														
#org0	gente	grupo no definido						Leute	Pessoas	group	human	undefined		MAT
#org1	Sanedrín							Sanhedrin	Sinédrio	group	human	defined		MAT
#org2	fariseos							Pharisäer	Fariseus	group	human	defined		MAT
#org3	discípulos	de Jesús						Jünger	Discípulos	group	human	defined		MAT
#org4	ángel							Engel	Anjo	group	superior	defined		MAT
#org5	escribas							Schriftgelehrte	Escribas	group	human	defined		MAT
#org6	demonios							Dämon	Demônio	group	superior	defined		MAT
#org7	saduceos							Saduzäer	Saduceus	group	human	defined		MAT
#org8	profetas							Propheten	Profétas	group	human	defined		MAT
#org9	herodianos							Horadianer	Herodianos	group	human	defined		MAT
#org10	reyes magos							Weisen aus dem Morgenland	Reis Magos	group	human	defined		MAT
#org11	hermanos de Jesús							Brüder Jesu	Irmãos de Jesus	group	human	defined		MAT
#org12	sacerdotes							Priester	Sacerdotes	group	human	undefined		MAT
#org13	judíos							Juden	Judeus	group	human	undefined		MAT
#org14	falsos profetas	hechiceros, magos						Falsche Propheten	Falsos Profétas	group	human	undefined		MAT
#org15	enfermos	paralítico leprosos mudos ciegos etc						Kranke	Enfermos	group	human	undefined		MAT
#org16	gentiles		extranjero					Heiden	Gentios	group	human	defined		MAT
#org17	samaritanos							Samariter	Samaritanos	group	human	defined		MAT
#org18	creyentes							Gläubige	Crentes	group	human	undefined		MAT
#org19	no creyentes	malvados						Nichtgläubige	Não crentes	group	human	undefined		MAT
#org20	publicanos							Publikaner	Publicanos	group	human	undefined		MAT
#org21	prostitutas							Prostituierte	Prostitutas	group	human	undefined		MAT
#org22	tribus de Israel					low		Stämme Israels	Tribos des Israel	group	human	defined		MAT
#org23	falsos cristos							Falsche Christen? Oder Falsche Christuse	Falso Cristãos? Ou Falsos Cristos	group	human	defined		MAT
#org24	soldados							Soldaten	Soldados	group	human	undefined		MAT
#org25	ancianos	del pueblo de Israel	príncipes de Israel					Älteste	Anciãos	group	human	defined		MAT
#org26	criados de Herodes							Diener des Herodes	Servos de Herodes	group	human	defined		MAT
#org27	discípulos	de Juan el bautista						Jünger	Discipulos	group	human	defined		MAT
#org28	condiscípulos	de Tomas Dídimo								group	human	defined		JOH
#org29	concilio	de fariseos y sacerdotes								group	human	defined		JOH
#org30	iglesia de Éfeso							Gemeinde von Ephesus	Igreja de Éfeso	group	human	defined		REV
#org31	iglesia de Esmirna							Gemeinde von Smyrna	Igreja de Esmirna	group	human	defined		REV
#org32	iglesia de Pérgamo							Gemeinde von Pergamon	Igreja de Pérgamo	group	human	defined		REV
#org33	iglesia de Tiatira							Gemeinde von Thiatira	Igreja de Tiatira	group	human	defined		REV
#org34	iglesia de Sardis							Gemeinde von Sardes	Igrejas des Sardes	group	human	defined		REV
#org35	iglesia de Filadelfia							Gemeinde von Philadelphia	Igreja de Filadélfia	group	human	defined		REV
#org36	iglesia de Laodicea							Gemeinde von Laodicea	Igreja de Laodicéia	group	human	defined		REV
#org37	iglesia							Gemeinde	Igreja	group	human	undefined		REV
#org38	sellados									group	human	undefined		REV
#org39	tribu de Judá	tb sus hijos								group	human	defined		REV
#org40	tribu de Rubén	tb sus hijos								group	human	defined		REV
#org41	tribu de Gad	tb sus hijos								group	human	defined		REV
#org42	tribu de Aser	tb sus hijos								group	human	defined		REV
#org43	tribu de Neftalí	tb sus hijos								group	human	defined		REV
#org44	tribu de Manases	tb sus hijos								group	human	defined		REV
#org45	tribu de Simeón	tb sus hijos								group	human	defined		REV
#org46	tribu de Leví	tb sus hijos	levitas							group	human	defined		REV
#org47	tribu de Isacar	tb sus hijos								group	human	defined		REV
#org48	tribu de Zabulón	tb sus hijos								group	human	defined		REV
#org49	tribu de José	tb sus hijos								group	human	defined		REV
#org50	tribu de Benjamín	tb sus hijos								group	human	defined		REV
#org51	4 seres vivientes	del Apocalipsis				low				group	superior	defined		REV
#org52	24 ancianos	del Apocalipsis				low			24 anciãos	group	superior	defined		REV
#org53	filisteos							Philister	Filisteus	group	human	defined		GEN
#org54	jebuseo									group	human	defined		GEN
#org55	amorreo									group	human	defined		GEN
#org56	gergeseo									group	human	defined		GEN
#org57	heveos									group	human	defined		GEN
#org58	araceos									group	human	defined		GEN
#org59	sineos									group	human	defined		GEN
#org60	arvadeos									group	human	defined		GEN
#org61	zemareos									group	human	defined		GEN
#org62	hamateos									group	human	defined		GEN
#org63	cananeos									group	human	defined		GEN
#org64	caldeos									group	human	defined		GEN
#org65	egipcios									group	human	defined		GEN
#org66	ferezeos									group	human	defined		GEN
#org67	refaítas									group	human	defined		GEN
#org68	zuzitas									group	human	defined		GEN
#org69	amalecitas									group	human	defined		GEN
#org70	hebreos		Israel							group	human	defined		GEN
#org71	horeos									group	human	defined		GEN
#org72	ceneos									group	human	defined		GEN
#org73	cadmoneos									group	human	defined		GEN
#org74	heteos									group	human	defined		GEN
#org75	amorreos									group	human	defined		GEN
#org76	gergeseos									group	human	defined		GEN
#org77	jebuseos									group	human	defined		GEN
#org78	descendientes de Abraham									group	human	defined		GEN
#org79	personas de Sodoma									group	human	defined		GEN
#org80	familia de Lot									group	human	defined		GEN
#org81	moabitas									group	human	defined		GEN
#org82	amonitas									group	human	defined		GEN
#org83	criados de Abraham									group	human	defined		GEN
#org84	hijos de Het									group	human	defined		GEN
#org85	ismaelitas									group	human	defined		GEN
#org86	hijos de Isaac									group	human	defined		GEN
#org87	criados de Isaac									group	human	defined		GEN
#org88	hijos de Jacob									group	human	defined		GEN
#org89	hijos de Labán									group	human	defined		GEN
#org90	hijos de Lea									group	human	defined		GEN
#org91	tribu de Dan									group	human	defined		GEN
#org92	sacerdotes del faraón	tb magos								group	human	defined		GEN
#org93	tribu de Efraín									group	human	defined		GEN
#org94	siervos de faraón	tb casa								group	human	defined		GEN
#org95	jueces	de Israel								group	human	defined		RUT
#org96	criados de Booz									group	human	defined		RUT
#org97	hijos de Booz y Rut									group	human	defined		RUT
#org98	marineros de la nave de Jonás									group	human	defined		JON
#org99	hombres de Nínive									group	human	defined		JON
#org100	reyes y responsables en general									group	human	undefined		SAL
#org101	enemigos									group	human	undefined		SAL
#org102	pobres	presos								group	human	undefined		SAL
#org103	dioses	otros dioses								group	superior	undefined		SAL
#org104	descendientes de David									group	human	defined		SAL
#org105	aliados									group	human	undefined		SAL
#org106	hijos de Coré			?						group	human	defined		SAL
#org107	hermonitas									group	human	defined		SAL
#org108	personas de Tiro									group	human	defined		SAL
#org109	hijos de Isaí									group	human	defined		SAL
#org110	apóstoles									group	human	defined		ACT
#org111	mujeres	cercanas a los discípulos								group	human	defined		ACT
#org112	partos									group	human	defined		ACT
#org113	medos									group	human	defined		ACT
#org114	elamitas									group	human	defined		ACT
#org115	romanos									group	human	defined		ACT
#org116	cretenses									group	human	defined		ACT
#org117	árabes									group	human	defined		ACT
#org118	griegos									group	human	defined		ACT
#org119	etiopía									group	human	defined		ACT
#org120	gente de Licaonia									group	human	defined		ACT
#org121	macedonios									group	human	defined		ACT
#org122	mujeres									group	human	defined		ACT
#org123	efesios									group	human	defined		ACT
#org124	malteses									group	human	defined		ACT
#org125	descendientes de Esaú									group	human	defined		MAL
#org126	edomitas									group	human	defined		MAL
#org127	cuñadas de Moisés									group	human	defined		EXO
#org128	hijos de Moisés									group	human	defined		
#org129	coreítas	hijos de Coré								group	human	defined		
#org130	primogénitos									group	human	defined		
#org131	esclavos		siervos							group	human	defined		
#org132	hijos de Aarón									group	human	defined		
														
														
														
														
#tim1	tercer día	tras la muerte de Jesús						Dritter Tag	Terceiro dia	time				MAT
#tim2	Día del juicio							Tag des jüngsten Gerichtes	Dia do juízo	time				MAT
#tim3	principio del mundo							Anfang der Welt	Pincípio do mundo	time				MAT
#tim4	Días de Noé							Tage Noahs	Dias de Noé	time				MAT
#tim5	Pascua							Ostern	Pacoa	time				MAT
#tim6	Día de la fiesta de los panes sin levadura							Tag des Festes der ungesäuerten Brote	Dia da festa dos pães sem fermendo	time				MAT
#tim7	toma de Jesús							Die Einnahme Jesu	Tomada de Jesus	time				MAT
#tim8	días del Rey Herodes							Tage des König Herodes	Dias do rei Herodes	time				MAT
#tim9	sábado							Samstag	Sábado	time				MAT
#tim10	bodas de Caná							Hochzeit zu Cana	Bodas de Caná	time				MAT
#tim11	fiesta de los tabernáculos							Fest der Stifthütte	Festa dos tabernáculos	time				MAT
#tim12	fiesta de la Dedicación							Einweihungsfest	Festa de dedicacão	time				MAT
#tim13	muerte de Jesús							Tod Jesu	Morte de Jesus	time				MAT
#tim14	antes del principio							Vor de Anfang	Antes do prinípio	time				MAT
#tim15	diluvio							Sintflut	Dilúvio	time				REV
#tim16	tiempo de los patriarcas									time				SAL
#tim17	Pentecostés		fiesta de la siega							time				ACT
#tim18	nacimiento de Jesús									time				MAL
#tim19	salida de Egipto													EXO
#tim20	Abib	mes												EXO
#tim21	fiesta de la cosecha													EXO
#tim22	fiesta de las semanas													EXO
														
														
#wor1	antiguo testamento		leyes					Altes Testament	Antigo Testamento	work				
#wor2	Evangelio de Juan							Evangelium des Johannes	Evangelho de João	work				
#wor3	Libro de apocalipisis							Offenbarung	Apocalipse	work				
#wor4	libro de la vida							Buch des Lebens	Livro da vida	work				
#wor5	Evangelio de Lucas									work				
#wor6	Salmos													
#wor7	tablas de la ley													EXO
														
														
#pla1	Belén							Bethlehem	Belem	place	human			MAT
#pla2	Judea		Judá	Es lo mismo que Judá?				Judäa	Judeia	place	human			MAT
#pla3	Jerusalén							Jerusalem	Jerusalem	place	human			MAT
#pla4	Israel							Israel	Israel	place	human			MAT
#pla5	Egipto							Ägypten	Egito	place	human			MAT
#pla6	Ramá							Rama	Ramá	place	human			MAT
#pla7	Galilea							Galiläa	Geliléia	place	human			MAT
#pla8	Nazaret							Nazareth	Nazaré	place	human			MAT
#pla9	Jordán							Jordan	Jordão	place	human			MAT
#pla10				 Antes este id tenía el valor de “ciudad santa”a hora integrado en pla3						place	human			MAT
#pla11	Capernaúm							Kapernaum	Cafarnaum	place	human			MAT
#pla12	Zabulón							Sebulon	Zebulom	place	human			MAT
#pla13	Neftalí			repetido??				Naftali	Naftali	place	human			MAT
#pla14	Siria							Syrien	Siria	place	human			MAT
#pla15	infierno							Hölle	Inferno	place	superior			MAT
#pla16	Sodoma							Sodom	Sodoma	place	human			MAT
#pla17	Gomorra							Gomorra	Gomorra	place	human			MAT
#pla18	cielo							Himmel	Céu	place	superior			MAT
#pla19	reino de los cielos		reino de Dios			low		Himmelreich	Reino dos céus	place	superior			MAT
#pla20	Nínive							Ninive	Ninive	place	human			MAT
#pla21	Genesaret							Genezareth	Genezaré	place	human			MAT
#pla22	Tiro							Tirus	Tiros	place	human			MAT
#pla23	Sidón							Sidon	Sidon	place	human			MAT
#pla24	Cesarea							Cesarea	Cesaréia	place	human			MAT
#pla25	Filipo							Filipi	Filipe	place	human			MAT
#pla26	Jericó							Jericho	Jericó	place	human			MAT
#pla27	Betfagé							Betfage	Betfagé	place	human			MAT
#pla28	monte de los Olivos							Ölberg	Monte das Oliveiras	place	human			MAT
#pla29	Sion							Zion	Sião	place	human			MAT
#pla30	templo	de Jerusalén						Tempel	Templo	place	human			MAT
#pla31	Betania							Bethanien	Betânia	place	human			MAT
#pla32	Getsemaní							Gethsemane	Getsêmani	place	human			MAT
#pla33	Cirene							Zirene	Cirene	place	human			MAT
#pla34	Gólgota							Golgatha	Gólgata	place	human			MAT
#pla35	Arimatea							Arimathea	Arimatéia	place	human			MAT
#pla36	sepulcro	tumba de Jesús						Grab	Sepulcro	place	human			MAT
#pla37	pretorio							Pretoria	Pretória	place	human			MAT
#pla38	Magdala							Magdala	Madala	place	human			MAT
#pla39	oriente			Lugar del que proceden los magos que alaban a Jesús				Orient	Oriente	place	human			MAT
#pla40	Decápolis							Dekapolis	Decápolis	place	human			MAT
#pla41	tierra	mundo				low		Erde	Terra	place	human			MAT
#pla42	occidente							Westliche Welte	Ocidente	place	human			MAT
#pla43	mar de Galilea							See Genezareth	Mar da Galiléia	place	human			MAT
#pla44	Corazín							Chorazin	Corazim	place	human			MAT
#pla45	Betsaida							Bethsaida	Betsaida	place	human			MAT
#pla46	Betábara							Betanien	Betabara	place	human			MAT
#pla47	sinagoga							Sinagoge	Sinagóga	place	human			MAT
#pla48	Caná									place	human			JOH
#pla49	Enón									place	human			JOH
#pla50	Salim									place	human			JOH
#pla51	Samaria									place	human			JOH
#pla52	Sicar									place	human			JOH
#pla53	Puerta de las Ovejas	En Jerusalén								place	human			JOH
#pla54	Betesda									place	human			JOH
#pla55	Tiberias									place	human			JOH
#pla56	Siloé									place	human			JOH
#pla57	Efraín									place	human			JOH
#pla58	Cedrón									place	human			JOH
#pla59	Enlosado									place	human			JOH
#pla60	Sardis									place	human			REV
#pla61	Tiatira									place	human			REV
#pla62	Éfeso									place	human			REV
#pla63	Asia									place	human			REV
#pla64	Éufrates									place	human			REV
#pla65	Esmirna									place	human			REV
#pla66	Laodicea									place	human			REV
#pla67	Filadelfia									place	human			REV
#pla68	Pérgamo									place	human			REV
#pla69	Babilonia									place	human			REV
#pla70	Patmos									place	human			REV
#pla71	Nueva Jerusalén					low				place	superior			REV
#pla72	Sión		monte de Jehová							place	superior			REV
#pla73	tabernáculo		templo en el cielo			low				place	superior			REV
#pla74	Armagedón									place	superior			REV
#pla75	Gog									place	human			REV
#pla76	Magog									place	human			REV
#pla77	Edén			Tb huerto						place	human			GEN
#pla78	Ur			Tierra original de Abraham???						place	human			GEN
#pla79	Babel									place	human			GEN
#pla80	Damasco									place	human			GEN
#pla81	Gaza									place	human			GEN
#pla82	Mesopotamia									place	human			GEN
#pla83	Moriah									place	human			GEN
#pla84	Canaán									place	human			GEN
#pla85	Pisón	río								place	human			GEN
#pla86	Havila									place	human			GEN
#pla87	Gihón	río								place	human			GEN
#pla88	Cus									place	human			GEN
#pla89	Hidekel	río								place	human			GEN
#pla90	Asiria									place	human			GEN
#pla91	Nod			¿Es realmente un lugar?		medium				place	human			GEN
#pla92	Enoc									place	human			GEN
#pla93	Ararat									place	human			GEN
#pla94	Erec									place	human			GEN
#pla95	Acad									place	human			GEN
#pla96	Calne									place	human			GEN
#pla97	Sinar									place	human			GEN
#pla98	Rehobot									place	human			GEN
#pla99	Cala									place	human			GEN
#pla100	Resén									place	human			GEN
#pla101	Gerar									place	human			GEN
#pla102	Adma									place	human			GEN
#pla103	Zeboim									place	human			GEN
#pla104	Lasa									place	human			GEN
#pla105	Mesa									place	human			GEN
#pla106	Sefar									place	human			GEN
#pla107	Haran									place	human			GEN
#pla108	Siquem									place	human			GEN
#pla109	More									place	human			GEN
#pla110	Bet-el		Betel							place	human			GEN
#pla111	Hai									place	human			GEN
#pla112	Neguev									place	human			GEN
#pla113	Zoar									place	human			GEN
#pla114	Bered									place	human			GEN
#pla115	Hebrón									place	human			GEN
#pla116	lugar del altar		de Abraham, cerca de Bet-el							place	human			GEN
#pla117	Elasar									place	human			GEN
#pla118	Elam									place	human			GEN
#pla119	Goim									place	human			GEN
#pla120	Bela									place	human			GEN
#pla121	Sidim									place	human			GEN
#pla122	Astarot Karnaim									place	human			GEN
#pla123	Ham									place	human			GEN
#pla124	Save-quiriataim									place	human			GEN
#pla125	Seir									place	human			GEN
#pla126	Parán									place	human			GEN
#pla127	Cades									place	human			GEN
#pla128	Hazezon-tamar									place	human			GEN
#pla129	Hoba									place	human			GEN
#pla130	Salem									place	human			GEN
#pla131	Nilo									place	human			GEN
#pla132	Shur									place	human			GEN
#pla133	Beerseba									place	human			GEN
#pla134	Macpela	tb cueva y tumba de Abraham Isaac Jacob y sus mujeres								place	human			GEN
#pla135	Mamre									place	human			GEN
#pla136	Padan-aram									place	human			GEN
#pla137	Galaad									place	human			GEN
#pla138	Mahanaim									place	human			GEN
#pla139	Peniel									place	human			GEN
#pla140	Sucot									place	human			GEN
#pla141	El-Elohe-Israel									place	human			GEN
#pla142	El-bet-el					medium				place	human			GEN
#pla143	Dotán									place	human			GEN
#pla144	Quezib									place	human			GEN
#pla145	Timnat									place	human			GEN
#pla146	Enaim									place	human			GEN
#pla147	Gosén									place	human			GEN
#pla148	Abel-mizraim									place	human			GEN
#pla149	campos de Moab									place	human			RUT
#pla150	Efrata									place	human			RUT
#pla151	Tarsis									place	human			JON
#pla152	Jope									place	human			JON
#pla153	mar mediterráneo									place	human			JON
#pla154	Basán									place	human			SAL
#pla155	Hernón		Sirión							place	human			SAL
#pla156	Líbano									place	human			SAL
#pla157	Mizar									place	human			SAL
#pla158	Ofir									place	human			SAL
#pla159	Sinaí	montaña	Horeb							place	human			SAL
#pla160	Salmón									place	human			SAL
#pla161	Etiopía									place	human			SAL
#pla162	Sabá									place	human			SAL
#pla163	Seba									place	human			SAL
#pla164	Acéldama	lugar donde se suicida Judas								place	human			ACT
#pla165	Capadocia									place	human			ACT
#pla166	Ponto									place	human			ACT
#pla167	Frigia									place	human			ACT
#pla168	Panfilia									place	human			ACT
#pla169	África									place	human			ACT
#pla170	Chipre									place	human			ACT
#pla171	Antioquía									place	human			ACT
#pla172	Alejandría									place	human			ACT
#pla173	Cilicia									place	human			ACT
#pla174	Harán									place	human			ACT
#pla175	Mar Rojo									place	human			ACT
#pla176	Sinaí	desierto								place	human			ACT
#pla177	Azoto									place	human			ACT
#pla178	Tarso			mismo que Tarsis?		medium				place	human			ACT
#pla179	Lida									place	human			ACT
#pla180	Sarón									place	human			ACT
#pla181	Fenicia									place	human			ACT
#pla182	Chipre									place	human			ACT
#pla183	Seleucia									place	human			ACT
#pla184	Salamina									place	human			ACT
#pla185	Pafos									place	human			ACT
#pla186	Perge									place	human			ACT
#pla187	Panfilia									place	human			ACT
#pla188	Antioquía									place	human			ACT
#pla189	Pisidia									place	human			ACT
#pla190	Iconio									place	human			ACT
#pla191	Listra									place	human			ACT
#pla192	Derbe									place	human			ACT
#pla193	Licaonia									place	human			ACT
#pla194	Pisidia									place	human			ACT
#pla195	Panfilia									place	human			ACT
#pla196	Atalia									place	human			ACT
#pla197	Frigia									place	human			ACT
#pla198	Galacia									place	human			ACT
#pla199	Macedonia									place	human			ACT
#pla200	Tesalónica									place	human			ACT
#pla201	Misia									place	human			ACT
#pla202	Troas									place	human			ACT
#pla203	Bitinia									place	human			ACT
#pla204	Samotracia									place	human			ACT
#pla205	Neápolis									place	human			ACT
#pla206	Filipos									place	human			ACT
#pla207	Anfípolis									place	human			ACT
#pla208	Apolonia									place	human			ACT
#pla209	Berea									place	human			ACT
#pla210	Atenas									place	human			ACT
#pla211	Areópago									place	human			ACT
#pla212	Corinto									place	human			ACT
#pla213	Italia									place	human			ACT
#pla214	Roma									place	human			ACT
#pla215	Erasto									place	human			ACT
#pla216	Alejandría									place	human			ACT
#pla217	Grecia									place	human			ACT
#pla218	Asón									place	human			ACT
#pla219	Mitilene									place	human			ACT
#pla220	Quío									place	human			ACT
#pla221	Samos									place	human			ACT
#pla222	Trogilio									place	human			ACT
#pla223	Mileto									place	human			ACT
#pla224	Cos									place	human			ACT
#pla225	Rodas									place	human			ACT
#pla226	Pátara									place	human			ACT
#pla227	Tolemaida									place	human			ACT
#pla228	Antípatris									place	human			ACT
#pla229	Panfilia									place	human			ACT
#pla230	Mira									place	human			ACT
#pla231	Licia									place	human			ACT
#pla232	Gnido									place	human			ACT
#pla233	Creta									place	human			ACT
#pla234	Buenos Puertos									place	human			ACT
#pla235	Lasea									place	human			ACT
#pla236	Fenice									place	human			ACT
#pla237	Clauda									place	human			ACT
#pla238	Sirte									place	human			ACT
#pla239	mar Adriático									place	human			ACT
#pla240	Malta									place	human			ACT
#pla241	Siracusa									place	human			ACT
