	b.JOE.1.1	b.JOE.1.2	b.JOE.1.3	b.JOE.1.4	b.JOE.1.5	b.JOE.1.6	b.JOE.1.7	b.JOE.1.8	b.JOE.1.9	b.JOE.1.10	b.JOE.1.11	b.JOE.1.12	b.JOE.1.13	b.JOE.1.14	b.JOE.1.15	b.JOE.1.16	b.JOE.1.17	b.JOE.1.18	b.JOE.1.19	b.JOE.1.20	b.JOE.2.1	b.JOE.2.2	b.JOE.2.3	b.JOE.2.4	b.JOE.2.5	b.JOE.2.6	b.JOE.2.7	b.JOE.2.8	b.JOE.2.9	b.JOE.2.10	b.JOE.2.11	b.JOE.2.12	b.JOE.2.13	b.JOE.2.14	b.JOE.2.15	b.JOE.2.16	b.JOE.2.17	b.JOE.2.18	b.JOE.2.19	b.JOE.2.20	b.JOE.2.21	b.JOE.2.22	b.JOE.2.23	b.JOE.2.24	b.JOE.2.25	b.JOE.2.26	b.JOE.2.27	b.JOE.2.28	b.JOE.2.29	b.JOE.2.30	b.JOE.2.31	b.JOE.2.32	b.JOE.3.1	b.JOE.3.2	b.JOE.3.3	b.JOE.3.4	b.JOE.3.5	b.JOE.3.6	b.JOE.3.7	b.JOE.3.8	b.JOE.3.9	b.JOE.3.10	b.JOE.3.11	b.JOE.3.12	b.JOE.3.13	b.JOE.3.14	b.JOE.3.15	b.JOE.3.16	b.JOE.3.17	b.JOE.3.18	b.JOE.3.19	b.JOE.3.20	b.JOE.3.21
#per1045	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
#org24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
#pla291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
#pla5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#org0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	2	0	1	0	0	0	0	0	0	0
#pla23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org12	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
