	b.GAL.1.1	b.GAL.1.2	b.GAL.1.3	b.GAL.1.4	b.GAL.1.5	b.GAL.1.6	b.GAL.1.7	b.GAL.1.8	b.GAL.1.9	b.GAL.1.10	b.GAL.1.11	b.GAL.1.12	b.GAL.1.13	b.GAL.1.14	b.GAL.1.15	b.GAL.1.16	b.GAL.1.17	b.GAL.1.18	b.GAL.1.19	b.GAL.1.20	b.GAL.1.21	b.GAL.1.22	b.GAL.1.23	b.GAL.1.24	b.GAL.2.1	b.GAL.2.2	b.GAL.2.3	b.GAL.2.4	b.GAL.2.5	b.GAL.2.6	b.GAL.2.7	b.GAL.2.8	b.GAL.2.9	b.GAL.2.10	b.GAL.2.11	b.GAL.2.12	b.GAL.2.13	b.GAL.2.14	b.GAL.2.15	b.GAL.2.16	b.GAL.2.17	b.GAL.2.18	b.GAL.2.19	b.GAL.2.20	b.GAL.2.21	b.GAL.3.1	b.GAL.3.2	b.GAL.3.3	b.GAL.3.4	b.GAL.3.5	b.GAL.3.6	b.GAL.3.7	b.GAL.3.8	b.GAL.3.9	b.GAL.3.10	b.GAL.3.11	b.GAL.3.12	b.GAL.3.13	b.GAL.3.14	b.GAL.3.15	b.GAL.3.16	b.GAL.3.17	b.GAL.3.18	b.GAL.3.19	b.GAL.3.20	b.GAL.3.21	b.GAL.3.22	b.GAL.3.23	b.GAL.3.24	b.GAL.3.25	b.GAL.3.26	b.GAL.3.27	b.GAL.3.28	b.GAL.3.29	b.GAL.4.1	b.GAL.4.2	b.GAL.4.3	b.GAL.4.4	b.GAL.4.5	b.GAL.4.6	b.GAL.4.7	b.GAL.4.8	b.GAL.4.9	b.GAL.4.10	b.GAL.4.11	b.GAL.4.12	b.GAL.4.13	b.GAL.4.14	b.GAL.4.15	b.GAL.4.16	b.GAL.4.17	b.GAL.4.18	b.GAL.4.19	b.GAL.4.20	b.GAL.4.21	b.GAL.4.22	b.GAL.4.23	b.GAL.4.24	b.GAL.4.25	b.GAL.4.26	b.GAL.4.27	b.GAL.4.28	b.GAL.4.29	b.GAL.4.30	b.GAL.4.31	b.GAL.5.1	b.GAL.5.2	b.GAL.5.3	b.GAL.5.4	b.GAL.5.5	b.GAL.5.6	b.GAL.5.7	b.GAL.5.8	b.GAL.5.9	b.GAL.5.10	b.GAL.5.11	b.GAL.5.12	b.GAL.5.13	b.GAL.5.14	b.GAL.5.15	b.GAL.5.16	b.GAL.5.17	b.GAL.5.18	b.GAL.5.19	b.GAL.5.20	b.GAL.5.21	b.GAL.5.22	b.GAL.5.23	b.GAL.5.24	b.GAL.5.25	b.GAL.5.26	b.GAL.6.1	b.GAL.6.2	b.GAL.6.3	b.GAL.6.4	b.GAL.6.5	b.GAL.6.6	b.GAL.6.7	b.GAL.6.8	b.GAL.6.9	b.GAL.6.10	b.GAL.6.11	b.GAL.6.12	b.GAL.6.13	b.GAL.6.14	b.GAL.6.15	b.GAL.6.16	b.GAL.6.17	b.GAL.6.18
#pla198	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org282	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
#pla159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
