	b.1TI.1.1	b.1TI.1.2	b.1TI.1.3	b.1TI.1.4	b.1TI.1.5	b.1TI.1.6	b.1TI.1.7	b.1TI.1.8	b.1TI.1.9	b.1TI.1.10	b.1TI.1.11	b.1TI.1.12	b.1TI.1.13	b.1TI.1.14	b.1TI.1.15	b.1TI.1.16	b.1TI.1.17	b.1TI.1.18	b.1TI.1.19	b.1TI.1.20	b.1TI.2.1	b.1TI.2.2	b.1TI.2.3	b.1TI.2.4	b.1TI.2.5	b.1TI.2.6	b.1TI.2.7	b.1TI.2.8	b.1TI.2.9	b.1TI.2.10	b.1TI.2.11	b.1TI.2.12	b.1TI.2.13	b.1TI.2.14	b.1TI.2.15	b.1TI.3.1	b.1TI.3.2	b.1TI.3.3	b.1TI.3.4	b.1TI.3.5	b.1TI.3.6	b.1TI.3.7	b.1TI.3.8	b.1TI.3.9	b.1TI.3.10	b.1TI.3.11	b.1TI.3.12	b.1TI.3.13	b.1TI.3.14	b.1TI.3.15	b.1TI.3.16	b.1TI.4.1	b.1TI.4.2	b.1TI.4.3	b.1TI.4.4	b.1TI.4.5	b.1TI.4.6	b.1TI.4.7	b.1TI.4.8	b.1TI.4.9	b.1TI.4.10	b.1TI.4.11	b.1TI.4.12	b.1TI.4.13	b.1TI.4.14	b.1TI.4.15	b.1TI.4.16	b.1TI.5.1	b.1TI.5.2	b.1TI.5.3	b.1TI.5.4	b.1TI.5.5	b.1TI.5.6	b.1TI.5.7	b.1TI.5.8	b.1TI.5.9	b.1TI.5.10	b.1TI.5.11	b.1TI.5.12	b.1TI.5.13	b.1TI.5.14	b.1TI.5.15	b.1TI.5.16	b.1TI.5.17	b.1TI.5.18	b.1TI.5.19	b.1TI.5.20	b.1TI.5.21	b.1TI.5.22	b.1TI.5.23	b.1TI.5.24	b.1TI.5.25	b.1TI.6.1	b.1TI.6.2	b.1TI.6.3	b.1TI.6.4	b.1TI.6.5	b.1TI.6.6	b.1TI.6.7	b.1TI.6.8	b.1TI.6.9	b.1TI.6.10	b.1TI.6.11	b.1TI.6.12	b.1TI.6.13	b.1TI.6.14	b.1TI.6.15	b.1TI.6.16	b.1TI.6.17	b.1TI.6.18	b.1TI.6.19	b.1TI.6.20	b.1TI.6.21
#org0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	4	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
#per145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per527	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
#org4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	2	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#tim2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0
#per504	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
