	b.NEH.1.1	b.NEH.1.2	b.NEH.1.3	b.NEH.1.4	b.NEH.1.5	b.NEH.1.6	b.NEH.1.7	b.NEH.1.8	b.NEH.1.9	b.NEH.1.10	b.NEH.1.11	b.NEH.2.1	b.NEH.2.2	b.NEH.2.3	b.NEH.2.4	b.NEH.2.5	b.NEH.2.6	b.NEH.2.7	b.NEH.2.8	b.NEH.2.9	b.NEH.2.10	b.NEH.2.11	b.NEH.2.12	b.NEH.2.13	b.NEH.2.14	b.NEH.2.15	b.NEH.2.16	b.NEH.2.17	b.NEH.2.18	b.NEH.2.19	b.NEH.2.20	b.NEH.3.1	b.NEH.3.2	b.NEH.3.3	b.NEH.3.4	b.NEH.3.5	b.NEH.3.6	b.NEH.3.7	b.NEH.3.8	b.NEH.3.9	b.NEH.3.10	b.NEH.3.11	b.NEH.3.12	b.NEH.3.13	b.NEH.3.14	b.NEH.3.15	b.NEH.3.16	b.NEH.3.17	b.NEH.3.18	b.NEH.3.19	b.NEH.3.20	b.NEH.3.21	b.NEH.3.22	b.NEH.3.23	b.NEH.3.24	b.NEH.3.25	b.NEH.3.26	b.NEH.3.27	b.NEH.3.28	b.NEH.3.29	b.NEH.3.30	b.NEH.3.31	b.NEH.3.32	b.NEH.4.1	b.NEH.4.2	b.NEH.4.3	b.NEH.4.4	b.NEH.4.5	b.NEH.4.6	b.NEH.4.7	b.NEH.4.8	b.NEH.4.9	b.NEH.4.10	b.NEH.4.11	b.NEH.4.12	b.NEH.4.13	b.NEH.4.14	b.NEH.4.15	b.NEH.4.16	b.NEH.4.17	b.NEH.4.18	b.NEH.4.19	b.NEH.4.20	b.NEH.4.21	b.NEH.4.22	b.NEH.4.23	b.NEH.5.1	b.NEH.5.2	b.NEH.5.3	b.NEH.5.4	b.NEH.5.5	b.NEH.5.6	b.NEH.5.7	b.NEH.5.8	b.NEH.5.9	b.NEH.5.10	b.NEH.5.11	b.NEH.5.12	b.NEH.5.13	b.NEH.5.14	b.NEH.5.15	b.NEH.5.16	b.NEH.5.17	b.NEH.5.18	b.NEH.5.19	b.NEH.6.1	b.NEH.6.2	b.NEH.6.3	b.NEH.6.4	b.NEH.6.5	b.NEH.6.6	b.NEH.6.7	b.NEH.6.8	b.NEH.6.9	b.NEH.6.10	b.NEH.6.11	b.NEH.6.12	b.NEH.6.13	b.NEH.6.14	b.NEH.6.15	b.NEH.6.16	b.NEH.6.17	b.NEH.6.18	b.NEH.6.19	b.NEH.7.1	b.NEH.7.2	b.NEH.7.3	b.NEH.7.4	b.NEH.7.5	b.NEH.7.6	b.NEH.7.7	b.NEH.7.8	b.NEH.7.9	b.NEH.7.10	b.NEH.7.11	b.NEH.7.12	b.NEH.7.13	b.NEH.7.14	b.NEH.7.15	b.NEH.7.16	b.NEH.7.17	b.NEH.7.18	b.NEH.7.19	b.NEH.7.20	b.NEH.7.21	b.NEH.7.22	b.NEH.7.23	b.NEH.7.24	b.NEH.7.25	b.NEH.7.26	b.NEH.7.27	b.NEH.7.28	b.NEH.7.29	b.NEH.7.30	b.NEH.7.31	b.NEH.7.32	b.NEH.7.33	b.NEH.7.34	b.NEH.7.35	b.NEH.7.36	b.NEH.7.37	b.NEH.7.38	b.NEH.7.39	b.NEH.7.40	b.NEH.7.41	b.NEH.7.42	b.NEH.7.43	b.NEH.7.44	b.NEH.7.45	b.NEH.7.46	b.NEH.7.47	b.NEH.7.48	b.NEH.7.49	b.NEH.7.50	b.NEH.7.51	b.NEH.7.52	b.NEH.7.53	b.NEH.7.54	b.NEH.7.55	b.NEH.7.56	b.NEH.7.57	b.NEH.7.58	b.NEH.7.59	b.NEH.7.60	b.NEH.7.61	b.NEH.7.62	b.NEH.7.63	b.NEH.7.64	b.NEH.7.65	b.NEH.7.66	b.NEH.7.67	b.NEH.7.68	b.NEH.7.69	b.NEH.7.70	b.NEH.7.71	b.NEH.7.72	b.NEH.7.73	b.NEH.8.1	b.NEH.8.2	b.NEH.8.3	b.NEH.8.4	b.NEH.8.5	b.NEH.8.6	b.NEH.8.7	b.NEH.8.8	b.NEH.8.9	b.NEH.8.10	b.NEH.8.11	b.NEH.8.12	b.NEH.8.13	b.NEH.8.14	b.NEH.8.15	b.NEH.8.16	b.NEH.8.17	b.NEH.8.18	b.NEH.9.1	b.NEH.9.2	b.NEH.9.3	b.NEH.9.4	b.NEH.9.5	b.NEH.9.6	b.NEH.9.7	b.NEH.9.8	b.NEH.9.9	b.NEH.9.10	b.NEH.9.11	b.NEH.9.12	b.NEH.9.13	b.NEH.9.14	b.NEH.9.15	b.NEH.9.16	b.NEH.9.17	b.NEH.9.18	b.NEH.9.19	b.NEH.9.20	b.NEH.9.21	b.NEH.9.22	b.NEH.9.23	b.NEH.9.24	b.NEH.9.25	b.NEH.9.26	b.NEH.9.27	b.NEH.9.28	b.NEH.9.29	b.NEH.9.30	b.NEH.9.31	b.NEH.9.32	b.NEH.9.33	b.NEH.9.34	b.NEH.9.35	b.NEH.9.36	b.NEH.9.37	b.NEH.9.38	b.NEH.10.1	b.NEH.10.2	b.NEH.10.3	b.NEH.10.4	b.NEH.10.5	b.NEH.10.6	b.NEH.10.7	b.NEH.10.8	b.NEH.10.9	b.NEH.10.10	b.NEH.10.11	b.NEH.10.12	b.NEH.10.13	b.NEH.10.14	b.NEH.10.15	b.NEH.10.16	b.NEH.10.17	b.NEH.10.18	b.NEH.10.19	b.NEH.10.20	b.NEH.10.21	b.NEH.10.22	b.NEH.10.23	b.NEH.10.24	b.NEH.10.25	b.NEH.10.26	b.NEH.10.27	b.NEH.10.28	b.NEH.10.29	b.NEH.10.30	b.NEH.10.31	b.NEH.10.32	b.NEH.10.33	b.NEH.10.34	b.NEH.10.35	b.NEH.10.36	b.NEH.10.37	b.NEH.10.38	b.NEH.10.39	b.NEH.11.1	b.NEH.11.2	b.NEH.11.3	b.NEH.11.4	b.NEH.11.5	b.NEH.11.6	b.NEH.11.7	b.NEH.11.8	b.NEH.11.9	b.NEH.11.10	b.NEH.11.11	b.NEH.11.12	b.NEH.11.13	b.NEH.11.14	b.NEH.11.15	b.NEH.11.16	b.NEH.11.17	b.NEH.11.18	b.NEH.11.19	b.NEH.11.20	b.NEH.11.21	b.NEH.11.22	b.NEH.11.23	b.NEH.11.24	b.NEH.11.25	b.NEH.11.26	b.NEH.11.27	b.NEH.11.28	b.NEH.11.29	b.NEH.11.30	b.NEH.11.31	b.NEH.11.32	b.NEH.11.33	b.NEH.11.34	b.NEH.11.35	b.NEH.11.36	b.NEH.12.1	b.NEH.12.2	b.NEH.12.3	b.NEH.12.4	b.NEH.12.5	b.NEH.12.6	b.NEH.12.7	b.NEH.12.8	b.NEH.12.9	b.NEH.12.10	b.NEH.12.11	b.NEH.12.12	b.NEH.12.13	b.NEH.12.14	b.NEH.12.15	b.NEH.12.16	b.NEH.12.17	b.NEH.12.18	b.NEH.12.19	b.NEH.12.20	b.NEH.12.21	b.NEH.12.22	b.NEH.12.23	b.NEH.12.24	b.NEH.12.25	b.NEH.12.26	b.NEH.12.27	b.NEH.12.28	b.NEH.12.29	b.NEH.12.30	b.NEH.12.31	b.NEH.12.32	b.NEH.12.33	b.NEH.12.34	b.NEH.12.35	b.NEH.12.36	b.NEH.12.37	b.NEH.12.38	b.NEH.12.39	b.NEH.12.40	b.NEH.12.41	b.NEH.12.42	b.NEH.12.43	b.NEH.12.44	b.NEH.12.45	b.NEH.12.46	b.NEH.12.47	b.NEH.13.1	b.NEH.13.2	b.NEH.13.3	b.NEH.13.4	b.NEH.13.5	b.NEH.13.6	b.NEH.13.7	b.NEH.13.8	b.NEH.13.9	b.NEH.13.10	b.NEH.13.11	b.NEH.13.12	b.NEH.13.13	b.NEH.13.14	b.NEH.13.15	b.NEH.13.16	b.NEH.13.17	b.NEH.13.18	b.NEH.13.19	b.NEH.13.20	b.NEH.13.21	b.NEH.13.22	b.NEH.13.23	b.NEH.13.24	b.NEH.13.25	b.NEH.13.26	b.NEH.13.27	b.NEH.13.28	b.NEH.13.29	b.NEH.13.30	b.NEH.13.31
#pla382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
