	Source	Target	Via	Weight	Type
138	#per14	#per15	oral	580	Directed
144	#per14	#org39	oral	265	Directed
119	#per15	#org39	idea	178	Directed
71	#per14	#org70	oral	155	Directed
128	#per15	#org70	idea	134	Directed
4	#per14	#org133	oral	101	Directed
80	#per15	#org133	oral	100	Directed
163	#per15	#per14	prayer	85	Directed
19	#per15	#org39	oral	53	Directed
159	#per15	#org81	oral	47	Directed
95	#per14	#org81	oral	46	Directed
109	#per14	#org8	oral	26	Directed
142	#per15	#org171	written	25	Directed
85	#per15	#org0	oral	23	Directed
104	#per14	#org65	oral	23	Directed
106	#per15	#per1130	oral	21	Directed
8	#per14	#org171	oral	21	Directed
100	#per14	#org126	oral	16	Directed
0	#per15	#org151	idea	16	Directed
151	#per15	#org126	oral	16	Directed
64	#per15	#per1158	oral	16	Directed
112	#per15	#per1072	oral	15	Directed
63	#per14	#org12	oral	14	Directed
136	#org0	#org0	oral	14	Directed
133	#per14	#org0	oral	14	Directed
75	#per15	#per14	oral	13	Directed
172	#org70	#org0	oral	13	Directed
117	#per15	#org70	oral	12	Directed
23	#org0	#org0	soCalled	12	Directed
164	#per14	#per1158	oral	11	Directed
146	#per15	#org143	idea	10	Directed
88	#per15	#org143	oral	10	Directed
18	#per15	#per1134	oral	9	Directed
137	#per14	#org151	oral	8	Directed
157	#per15	#org0	idea	8	Directed
34	#per1158	#per15	oral	8	Directed
35	#per14	#org100	oral	8	Directed
69	#per14	#per1130	oral	7	Directed
76	#per15	#org195	oral	7	Directed
83	#org195	#org100	idea	7	Directed
53	#per15	#org12	oral	7	Directed
99	#per14	#org151	idea	7	Directed
153	#org39	#org0	soCalled	7	Directed
94	#org271	#per15	oral	6	Directed
33	#per15	#per1068	oral	6	Directed
108	#per14	#pla442	oral	6	Directed
59	#per15	#org82	oral	6	Directed
12	#per14	#org53	oral	6	Directed
66	#per15	#pla442	oral	6	Directed
51	#per14	#org82	oral	6	Directed
81	#org25	#per1134	oral	5	Directed
121	#per15	#org275	oral	5	Directed
167	#per14	#org275	oral	5	Directed
116	#per14	#org114	oral	5	Directed
173	#per15	#org114	oral	5	Directed
28	#per15	#org25	oral	5	Directed
32	#per14	#per1059	oral	5	Directed
48	#org39	#org39	oral	5	Directed
98	#per39	#per15	oral	4	Directed
161	#per15	#per1158	idea	4	Directed
44	#org0	#org0	idea	4	Directed
102	#per1072	#per15	oral	4	Directed
118	#per14	#org22	oral	4	Directed
155	#per15	#per1202	oral	4	Directed
132	#per14	#per14	thought	4	Directed
139	#per1437	#per15	oral	4	Directed
165	#per14	#per14	oral	3	Directed
60	#per15	#per975	idea	3	Directed
43	#per15	#org267	idea	3	Directed
9	#per14	#per1134	oral	3	Directed
40	#per15	#org171	oral	3	Directed
21	#per14	#per1068	oral	3	Directed
77	#per15	#per1444	idea	3	Directed
89	#per14	#org39	idea	3	Directed
74	#org70	#per15	soCalled	3	Directed
72	#org25	#org39	oral	3	Directed
47	#per14	#per975	oral	3	Directed
70	#per15	#org271	oral	3	Directed
3	#org8	#org0	soCalled	3	Directed
49	#per14	#per1444	oral	3	Directed
13	#per1068	#per15	oral	3	Directed
38	#per1450	#per15	oral	2	Directed
154	#org70	#org103	prayer	2	Directed
24	#org8	#org39	oral	2	Directed
105	#per14	#org271	oral	2	Directed
97	#per15	#per1134	idea	2	Directed
140	#per1071	#per15	oral	2	Directed
107	#org12	#org0	oral	2	Directed
25	#org8	#per1158	oral	2	Directed
101	#org70	#org39	oral	2	Directed
130	#org39	#per15	oral	2	Directed
150	#org93	#per14	prayer	2	Directed
92	#org39	#org39	soCalled	2	Directed
156	#org81	#org0	oral	2	Directed
123	#org39	#org0	oral	2	Directed
57	#per1353	#org171	oral	2	Directed
58	#org70	#per15	oral	2	Directed
2	#per1072	#per1353	oral	2	Directed
171	#org8	#per15	soCalled	2	Directed
50	#per14	#org267	oral	2	Directed
86	#per15	#per15	thought	2	Directed
135	#org8	#org19	soCalled	2	Directed
78	#org70	#per14	oral	2	Directed
162	#org39	#org70	oral	2	Directed
160	#per14	#per1068	idea	2	Directed
7	#org39	#per14	prayer	2	Directed
20	#per1059	#org70	oral	1	Directed
134	#org70	#org70	soCalled	1	Directed
143	#per15	#per1461	oral	1	Directed
16	#org24	#org0	oral	1	Directed
17	#per15	#org151	oral	1	Directed
141	#org25	#per1158	oral	1	Directed
15	#org19	#org0	soCalled	1	Directed
55	#org172	#org0	oral	1	Directed
14	#org271	#org271	oral	1	Directed
145	#per635	#org39	oral	1	Directed
147	#per1434	#org239	oral	1	Directed
148	#org239	#per1405	oral	1	Directed
149	#org8	#org70	soCalled	1	Directed
11	#org70	#per14	prayer	1	Directed
152	#org122	#per1158	oral	1	Directed
10	#org82	#org0	oral	1	Directed
158	#per1444	#per1158	oral	1	Directed
6	#org39	#org0	soCaled	1	Directed
5	#org70	#org70	oral	1	Directed
166	#org12	#org8	oral	1	Directed
168	#org14	#org39	oral	1	Directed
169	#org171	#org171	oral	1	Directed
170	#per1134	#org25	oral	1	Directed
131	#org0	#per15	prayer	1	Directed
114	#per1202	#org133	idea	1	Directed
129	#org8	#org0	oral	1	Directed
45	#per1353	#per1072	oral	1	Directed
91	#org39	#org24	oral	1	Directed
90	#org22	#org0	oral	1	Directed
1	#org24	#org39	oral	1	Directed
41	#per1134	#org0	oral	1	Directed
84	#per1158	#per15	oath	1	Directed
42	#org14	#org100	oral	1	Directed
82	#org39	#org0	oath	1	Directed
79	#org0	#pla442	oral	1	Directed
46	#per1158	#per1444	oral	1	Directed
39	#per1444	#per15	oral	1	Directed
73	#org0	#org0	oath	1	Directed
68	#org39	#per15	soCalled	1	Directed
67	#org25	#per15	soCalled	1	Directed
65	#org39	#org39	thought	1	Directed
52	#org0	#per1458	oral	1	Directed
62	#per861	#per1437	oral	1	Directed
61	#per14	#per15	prayer	1	Directed
54	#per1158	#per14	oral	1	Directed
93	#per1068	#org39	oral	1	Directed
96	#org70	#org0	idea	1	Directed
22	#per14	#org8	prayer	1	Directed
115	#per1130	#per15	oral	1	Directed
127	#org8	#org12	oral	1	Directed
126	#per1471	#per15	oral	1	Directed
125	#per1461	#per15	oral	1	Directed
124	#per975	#per15	oral	1	Directed
122	#per15	#per15	oral	1	Directed
120	#org8	#org70	oral	1	Directed
26	#org143	#org143	thought	1	Directed
27	#per1273	#per1130	oral	1	Directed
56	#org101	#org0	oral	1	Directed
37	#per14	#org133	oath	1	Directed
113	#org65	#org0	oral	1	Directed
111	#org70	#org0	oath	1	Directed
110	#org16	#per14	prayer	1	Directed
29	#per1158	#org25	oral	1	Directed
30	#org38	#per1158	oral	1	Directed
31	#org65	#org65	oral	1	Directed
103	#org151	#org0	soCalled	1	Directed
36	#per1202	#per14	idea	1	Directed
87	#org171	#org0	idea	1	Directed
