	Source	Target	Via	Weight	Type
10	#per1497	#org70	oral	137	Directed
14	#per14	#org70	oral	95	Directed
17	#per14	#per1497	oral	35	Directed
2	#per1497	#per1498	oral	4	Directed
15	#per1497	#per14	oral	4	Directed
16	#org0	#org0	soCalled	3	Directed
12	#per1498	#per1497	oral	3	Directed
7	#per14	#org70	oath	3	Directed
11	#org0	#org0	oath	2	Directed
0	#org19	#org19	oral	2	Directed
6	#per1498	#per980	written	2	Directed
1	#org19	#org0	soCalled	1	Directed
8	#per1497	#org0	soCalled	1	Directed
13	#per14	#per1498	oral	1	Directed
5	#org70	#org70	idea	1	Directed
4	#org0	#org0	oral	1	Directed
3	#per14	#org19	oath	1	Directed
9	#org70	#org70	soCalled	1	Directed
