	b.LAM.1.1	b.LAM.1.2	b.LAM.1.3	b.LAM.1.4	b.LAM.1.5	b.LAM.1.6	b.LAM.1.7	b.LAM.1.8	b.LAM.1.9	b.LAM.1.10	b.LAM.1.11	b.LAM.1.12	b.LAM.1.13	b.LAM.1.14	b.LAM.1.15	b.LAM.1.16	b.LAM.1.17	b.LAM.1.18	b.LAM.1.19	b.LAM.1.20	b.LAM.1.21	b.LAM.1.22	b.LAM.2.1	b.LAM.2.2	b.LAM.2.3	b.LAM.2.4	b.LAM.2.5	b.LAM.2.6	b.LAM.2.7	b.LAM.2.8	b.LAM.2.9	b.LAM.2.10	b.LAM.2.11	b.LAM.2.12	b.LAM.2.13	b.LAM.2.14	b.LAM.2.15	b.LAM.2.16	b.LAM.2.17	b.LAM.2.18	b.LAM.2.19	b.LAM.2.20	b.LAM.2.21	b.LAM.2.22	b.LAM.3.1	b.LAM.3.2	b.LAM.3.3	b.LAM.3.4	b.LAM.3.5	b.LAM.3.6	b.LAM.3.7	b.LAM.3.8	b.LAM.3.9	b.LAM.3.10	b.LAM.3.11	b.LAM.3.12	b.LAM.3.13	b.LAM.3.14	b.LAM.3.15	b.LAM.3.16	b.LAM.3.17	b.LAM.3.18	b.LAM.3.19	b.LAM.3.20	b.LAM.3.21	b.LAM.3.22	b.LAM.3.23	b.LAM.3.24	b.LAM.3.25	b.LAM.3.26	b.LAM.3.27	b.LAM.3.28	b.LAM.3.29	b.LAM.3.30	b.LAM.3.31	b.LAM.3.32	b.LAM.3.33	b.LAM.3.34	b.LAM.3.35	b.LAM.3.36	b.LAM.3.37	b.LAM.3.38	b.LAM.3.39	b.LAM.3.40	b.LAM.3.41	b.LAM.3.42	b.LAM.3.43	b.LAM.3.44	b.LAM.3.45	b.LAM.3.46	b.LAM.3.47	b.LAM.3.48	b.LAM.3.49	b.LAM.3.50	b.LAM.3.51	b.LAM.3.52	b.LAM.3.53	b.LAM.3.54	b.LAM.3.55	b.LAM.3.56	b.LAM.3.57	b.LAM.3.58	b.LAM.3.59	b.LAM.3.60	b.LAM.3.61	b.LAM.3.62	b.LAM.3.63	b.LAM.3.64	b.LAM.3.65	b.LAM.3.66	b.LAM.4.1	b.LAM.4.2	b.LAM.4.3	b.LAM.4.4	b.LAM.4.5	b.LAM.4.6	b.LAM.4.7	b.LAM.4.8	b.LAM.4.9	b.LAM.4.10	b.LAM.4.11	b.LAM.4.12	b.LAM.4.13	b.LAM.4.14	b.LAM.4.16	b.LAM.4.15	b.LAM.4.17	b.LAM.4.18	b.LAM.4.19	b.LAM.4.20	b.LAM.4.21	b.LAM.4.22	b.LAM.5.1	b.LAM.5.2	b.LAM.5.3	b.LAM.5.4	b.LAM.5.5	b.LAM.5.6	b.LAM.5.7	b.LAM.5.8	b.LAM.5.9	b.LAM.5.10	b.LAM.5.11	b.LAM.5.12	b.LAM.5.13	b.LAM.5.14	b.LAM.5.15	b.LAM.5.16	b.LAM.5.17	b.LAM.5.18	b.LAM.5.19	b.LAM.5.20	b.LAM.5.21	b.LAM.5.22
#pla3	3	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org39	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per14	0	0	0	0	1	0	0	0	2	0	2	1	0	1	2	0	1	0	0	2	1	1	1	1	1	2	2	1	2	1	1	0	0	0	0	0	0	0	1	1	1	3	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	2	1	2	2	2	1	2	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
#org24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla72	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
