	b.EZR.1.1	b.EZR.1.2	b.EZR.1.3	b.EZR.1.4	b.EZR.1.5	b.EZR.1.6	b.EZR.1.7	b.EZR.1.8	b.EZR.1.9	b.EZR.1.10	b.EZR.1.11	b.EZR.2.1	b.EZR.2.2	b.EZR.2.3	b.EZR.2.4	b.EZR.2.5	b.EZR.2.6	b.EZR.2.7	b.EZR.2.8	b.EZR.2.9	b.EZR.2.10	b.EZR.2.11	b.EZR.2.12	b.EZR.2.13	b.EZR.2.14	b.EZR.2.15	b.EZR.2.16	b.EZR.2.17	b.EZR.2.18	b.EZR.2.19	b.EZR.2.20	b.EZR.2.21	b.EZR.2.22	b.EZR.2.23	b.EZR.2.24	b.EZR.2.25	b.EZR.2.26	b.EZR.2.27	b.EZR.2.28	b.EZR.2.29	b.EZR.2.30	b.EZR.2.31	b.EZR.2.32	b.EZR.2.33	b.EZR.2.34	b.EZR.2.35	b.EZR.2.36	b.EZR.2.37	b.EZR.2.38	b.EZR.2.39	b.EZR.2.40	b.EZR.2.41	b.EZR.2.42	b.EZR.2.43	b.EZR.2.44	b.EZR.2.45	b.EZR.2.46	b.EZR.2.47	b.EZR.2.48	b.EZR.2.49	b.EZR.2.50	b.EZR.2.51	b.EZR.2.52	b.EZR.2.53	b.EZR.2.54	b.EZR.2.55	b.EZR.2.56	b.EZR.2.57	b.EZR.2.58	b.EZR.2.59	b.EZR.2.60	b.EZR.2.61	b.EZR.2.62	b.EZR.2.63	b.EZR.2.64	b.EZR.2.65	b.EZR.2.66	b.EZR.2.67	b.EZR.2.68	b.EZR.2.69	b.EZR.2.70	b.EZR.3.1	b.EZR.3.2	b.EZR.3.3	b.EZR.3.4	b.EZR.3.5	b.EZR.3.6	b.EZR.3.7	b.EZR.3.8	b.EZR.3.9	b.EZR.3.10	b.EZR.3.11	b.EZR.3.12	b.EZR.3.13	b.EZR.4.1	b.EZR.4.2	b.EZR.4.3	b.EZR.4.4	b.EZR.4.5	b.EZR.4.6	b.EZR.4.7	b.EZR.4.8	b.EZR.4.9	b.EZR.4.10	b.EZR.4.11	b.EZR.4.12	b.EZR.4.13	b.EZR.4.14	b.EZR.4.15	b.EZR.4.16	b.EZR.4.17	b.EZR.4.18	b.EZR.4.19	b.EZR.4.20	b.EZR.4.21	b.EZR.4.22	b.EZR.4.23	b.EZR.4.24	b.EZR.5.1	b.EZR.5.2	b.EZR.5.3	b.EZR.5.4	b.EZR.5.5	b.EZR.5.6	b.EZR.5.7	b.EZR.5.8	b.EZR.5.9	b.EZR.5.10	b.EZR.5.11	b.EZR.5.12	b.EZR.5.13	b.EZR.5.14	b.EZR.5.15	b.EZR.5.16	b.EZR.5.17	b.EZR.6.1	b.EZR.6.2	b.EZR.6.3	b.EZR.6.4	b.EZR.6.5	b.EZR.6.6	b.EZR.6.7	b.EZR.6.8	b.EZR.6.9	b.EZR.6.10	b.EZR.6.11	b.EZR.6.12	b.EZR.6.13	b.EZR.6.14	b.EZR.6.15	b.EZR.6.16	b.EZR.6.17	b.EZR.6.18	b.EZR.6.19	b.EZR.6.20	b.EZR.6.21	b.EZR.6.22	b.EZR.7.1	b.EZR.7.2	b.EZR.7.3	b.EZR.7.4	b.EZR.7.5	b.EZR.7.6	b.EZR.7.7	b.EZR.7.8	b.EZR.7.9	b.EZR.7.10	b.EZR.7.11	b.EZR.7.12	b.EZR.7.13	b.EZR.7.14	b.EZR.7.15	b.EZR.7.16	b.EZR.7.17	b.EZR.7.18	b.EZR.7.19	b.EZR.7.20	b.EZR.7.21	b.EZR.7.22	b.EZR.7.23	b.EZR.7.24	b.EZR.7.25	b.EZR.7.26	b.EZR.7.27	b.EZR.7.28	b.EZR.8.1	b.EZR.8.2	b.EZR.8.3	b.EZR.8.4	b.EZR.8.5	b.EZR.8.6	b.EZR.8.7	b.EZR.8.8	b.EZR.8.9	b.EZR.8.10	b.EZR.8.11	b.EZR.8.12	b.EZR.8.13	b.EZR.8.14	b.EZR.8.15	b.EZR.8.16	b.EZR.8.17	b.EZR.8.18	b.EZR.8.19	b.EZR.8.20	b.EZR.8.21	b.EZR.8.22	b.EZR.8.23	b.EZR.8.24	b.EZR.8.25	b.EZR.8.26	b.EZR.8.27	b.EZR.8.28	b.EZR.8.29	b.EZR.8.30	b.EZR.8.31	b.EZR.8.32	b.EZR.8.33	b.EZR.8.34	b.EZR.8.35	b.EZR.8.36	b.EZR.9.1	b.EZR.9.2	b.EZR.9.3	b.EZR.9.4	b.EZR.9.5	b.EZR.9.6	b.EZR.9.7	b.EZR.9.8	b.EZR.9.9	b.EZR.9.10	b.EZR.9.11	b.EZR.9.12	b.EZR.9.13	b.EZR.9.14	b.EZR.9.15	b.EZR.10.1	b.EZR.10.2	b.EZR.10.3	b.EZR.10.4	b.EZR.10.5	b.EZR.10.6	b.EZR.10.7	b.EZR.10.8	b.EZR.10.9	b.EZR.10.10	b.EZR.10.11	b.EZR.10.12	b.EZR.10.13	b.EZR.10.14	b.EZR.10.15	b.EZR.10.16	b.EZR.10.17	b.EZR.10.18	b.EZR.10.19	b.EZR.10.20	b.EZR.10.21	b.EZR.10.22	b.EZR.10.23	b.EZR.10.24	b.EZR.10.25	b.EZR.10.26	b.EZR.10.27	b.EZR.10.28	b.EZR.10.29	b.EZR.10.30	b.EZR.10.31	b.EZR.10.32	b.EZR.10.33	b.EZR.10.34	b.EZR.10.35	b.EZR.10.36	b.EZR.10.37	b.EZR.10.38	b.EZR.10.39	b.EZR.10.40	b.EZR.10.41	b.EZR.10.42	b.EZR.10.43	b.EZR.10.44
#per1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#per1358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per973	4	3	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	2	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
